Week,Channel,Region,Channel Group,Channel Type,Super Region,Year,Quarter,Month,Spend,Impressions,Clicks,Conversions,Leads,Revenue,New Customers
2024-01-15,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-01,11677.29,222306,9417,420,991,51853.81,261
2024-01-15,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-01,6307.37,111857,5246,200,509,26502.04,102
2024-01-15,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-01,14670.53,1163330,14815,341,922,40086.75,215
2024-01-15,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-01,8887.27,663074,7348,167,404,21025.41,111
2024-01-15,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-01,5156.76,374982,4636,96,248,12935.32,51
2024-01-15,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-01,8950.84,1774325,6235,75,173,8373.25,46
2024-01-15,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-01,5025.13,934675,3580,34,85,4022.93,19
2024-01-15,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-01,2989.48,600582,2588,25,66,2697.05,12
2024-01-15,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-01,10063.39,513196,4486,83,203,10182.02,55
2024-01-15,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-01,6000.95,284465,2602,44,110,5769.12,26
2024-01-15,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-01,3816.4,203164,2054,32,89,3914.29,16
2024-01-15,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-01,8455.95,112213,3396,193,465,28278.7,110
2024-01-15,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-01,4843.84,76808,2561,127,334,19189.81,61
2024-01-15,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-01,3428.73,41864,1518,84,237,11379.67,45
2024-01-15,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-01,6439.2,141487,5375,268,664,34493.67,170
2024-01-15,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-01,3954.24,96575,4006,184,491,23321.22,98
2024-01-15,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-01,2794.2,56386,2429,118,324,13994.78,66
2024-01-15,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-01,5088.12,158798,3338,105,265,13815.95,51
2024-01-15,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-01,3333.26,90377,2057,64,176,7877,34
2024-01-15,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-01,2363.24,53774,1270,45,117,5052.74,27
2024-01-22,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-01,15314.56,303769,14954,577,1534,71159.77,301
2024-01-22,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-01,11245.49,235391,11901,490,1335,56632.76,271
2024-01-22,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-01,7928.14,158519,6944,315,805,36712.31,196
2024-01-22,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-01,12404.34,920024,11867,229,623,28321.79,117
2024-01-22,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-01,9138.93,745690,10470,223,646,24827.18,129
2024-01-22,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-01,6385.26,498441,6088,141,349,16733.69,92
2024-01-22,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-01,7600.68,1611008,7152,71,196,7643.32,38
2024-01-22,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-01,5533.87,1159878,4458,50,127,5210.79,28
2024-01-22,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-01,3440.17,674871,2409,27,62,3006.2,16
2024-01-22,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-01,9689.53,524650,5523,89,251,10176.65,49
2024-01-22,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-01,7045.3,378927,3655,63,171,7281.93,40
2024-01-22,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-01,4650.05,233026,1968,35,86,4347,22
2024-01-22,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-01,8714.74,101720,3447,201,534,26705.74,114
2024-01-22,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-01,6357.58,70066,2044,131,323,18078.22,84
2024-01-22,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-01,3474.4,49195,1521,83,203,12264.18,43
2024-01-22,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-01,7076.47,122154,5468,277,780,31296.87,165
2024-01-22,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-01,5147.53,88406,3417,191,486,23200.69,126
2024-01-22,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-01,2991.88,61989,2404,124,306,16189.73,75
2024-01-22,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-01,5978.18,137816,2823,103,259,11874.54,64
2024-01-22,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-01,3865.6,99835,1930,64,152,7961.35,35
2024-01-22,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-01,1965.14,65798,1397,39,102,4992.65,19
2024-01-29,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-01,20051.43,390265,18912,891,2345,106650.14,577
2024-01-29,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-01,12070.54,220828,9973,443,1086,56803.97,290
2024-01-29,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-01,6680.63,125222,6273,248,663,32395.42,123
2024-01-29,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-01,15365.41,1177002,12594,293,688,36025.8,173
2024-01-29,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-01,8564.55,613321,7200,134,339,17508.33,67
2024-01-29,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-01,5472.27,443574,5822,116,316,13250.38,60
2024-01-29,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-01,8721.59,1668242,6152,71,168,8176.52,47
2024-01-29,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-01,4966.98,927368,3815,38,100,4675.92,22
2024-01-29,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-01,3350.26,698531,3141,33,89,3627.72,19
2024-01-29,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-01,9726.89,476672,4141,67,165,8506.25,39
2024-01-29,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-01,5995.44,302360,2957,44,116,5382.48,23
2024-01-29,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-01,4267.63,237039,2511,42,119,4723.85,22
2024-01-29,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-01,8254.65,124385,3992,226,571,34290.06,137
2024-01-29,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-01,5443.87,80298,2805,149,409,21334.97,77
2024-01-29,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-01,3835.98,46719,1604,93,261,12528.52,53
2024-01-29,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-01,6349.17,156299,6282,278,719,37288.43,129
2024-01-29,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-01,4393.26,83495,3640,169,469,20374.04,90
2024-01-29,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-01,3112.69,53209,2263,117,303,13392.29,71
2024-01-29,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-01,5082.77,166058,3647,115,306,14489.04,62
2024-01-29,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-01,3729.67,100479,2293,76,208,8942.96,41
2024-01-29,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-01,2627.87,60014,1181,44,112,5160.49,29
2024-02-05,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-02,17080.47,328401,17067,675,1879,81615.9,357
2024-02-05,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-02,12574.78,259525,13812,601,1701,67976.53,355
2024-02-05,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-02,8748.86,167647,7379,353,861,43044.96,237
2024-02-05,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-02,13934.34,1176505,14973,304,852,34838.8,166
2024-02-05,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-02,10200.19,822329,9054,202,510,23367.63,125
2024-02-05,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-02,5894.82,446107,4817,101,240,12439.86,59
2024-02-05,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-02,8519.74,1786520,8355,87,254,9075.82,49
2024-02-05,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-02,6179.9,1239282,5034,57,151,6177.43,36
2024-02-05,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-02,3839.64,723689,2727,32,77,3710.45,20
2024-02-05,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-02,10748.21,594046,5525,94,243,10547.23,55
2024-02-05,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-02,7384.05,380955,3060,54,131,6510.23,34
2024-02-05,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-02,3960.04,190921,1702,25,66,3220.32,11
2024-02-05,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-02,9731.76,108146,3852,236,652,31502.35,145
2024-02-05,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-02,6664.68,78070,2428,165,410,23723.87,112
2024-02-05,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-02,3858.87,54625,1790,103,266,15848.23,55
2024-02-05,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-02,7888.22,135149,4731,254,619,29978.26,164
2024-02-05,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-02,4779.54,98514,3661,166,404,20984.04,89
2024-02-05,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-02,2610.84,61377,2488,106,277,13228.71,51
2024-02-05,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-02,6652.84,152255,3310,126,318,15169.74,81
2024-02-05,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-02,4007.12,110835,2275,79,199,10242.09,47
2024-02-05,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-02,2219.65,72929,1633,50,133,6629.54,25
2024-02-12,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-02,19697.91,369313,15931,670,1593,83460.43,394
2024-02-12,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-02,10516.24,183942,8795,318,824,40478.4,150
2024-02-12,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-02,7544.92,156206,8237,333,930,37208.83,180
2024-02-12,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-02,14994.4,1105375,12550,276,672,35136.55,177
2024-02-12,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-02,8592.4,649107,8184,161,425,20883.03,85
2024-02-12,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-02,6149.93,497321,6448,134,381,15547.35,75
2024-02-12,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-02,7991.85,1469369,5735,57,141,6783.49,31
2024-02-12,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-02,5295.91,1053370,4609,45,123,4921.2,23
2024-02-12,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-02,3757.38,807008,3599,38,108,3910.27,21
2024-02-12,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-02,9651.18,474746,4432,70,179,9298.95,41
2024-02-12,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-02,6756,371451,3794,60,167,7087.92,33
2024-02-12,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-02,4737.69,259616,2437,43,113,4914.39,27
2024-02-12,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-02,8279.71,123427,4162,211,556,32087.69,101
2024-02-12,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-02,6120.76,70817,2606,147,418,19388.8,80
2024-02-12,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-02,4286.62,47181,1596,100,253,13532.05,62
2024-02-12,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-02,6753.97,155371,6527,292,785,35777.34,145
2024-02-12,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-02,4941.73,93670,3867,190,524,21901.23,108
2024-02-12,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-02,3268.57,59565,2134,109,272,13011.04,70
2024-02-12,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-02,5677.63,153732,3541,112,309,13533.82,60
2024-02-12,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-02,4177.09,95143,2144,77,207,8739.08,45
2024-02-12,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-02,2904.77,66524,1319,52,128,6375.28,35
2024-02-19,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-02,19256.12,412183,19923,828,2265,93642.44,464
2024-02-19,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-02,14056.17,277753,11692,541,1324,63936.01,342
2024-02-19,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-02,7605.26,140528,6127,245,596,30703.2,137
2024-02-19,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-02,15639.27,1301735,17444,375,1056,42069.3,218
2024-02-19,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-02,11295.6,872429,10176,239,604,28873.92,155
2024-02-19,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-02,6613.49,480520,5528,123,305,15728.71,77
2024-02-19,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-02,9543.97,1977092,7734,85,216,8956.43,52
2024-02-19,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-02,6106.69,1185494,4254,48,111,5422.31,30
2024-02-19,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-02,3332.98,602764,2415,23,58,2788.17,10
2024-02-19,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-02,12046.75,636789,6243,111,301,12973.96,70
2024-02-19,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-02,7761.11,385425,3295,63,149,7894.88,43
2024-02-19,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-02,4474.5,216722,2058,34,87,4536.26,18
2024-02-19,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-02,10865.12,119846,3363,220,522,30784.05,134
2024-02-19,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-02,6104.78,86990,2730,140,351,20909.22,71
2024-02-19,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-02,3619.59,51185,1760,92,242,12964.75,46
2024-02-19,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-02,8294.13,151135,5644,319,790,39247.21,214
2024-02-19,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-02,4975.71,109780,4324,210,533,27500.61,121
2024-02-19,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-02,2951.48,68350,2926,131,360,17014.12,67
2024-02-19,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-02,6134.04,170276,3345,110,269,13805.02,63
2024-02-19,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-02,3499.14,116564,2504,73,190,9439.61,35
2024-02-19,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-02,2508.46,63536,1495,49,135,5678.61,27
2024-02-26,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-02,19380.62,351115,16090,680,1696,87379.9,423
2024-02-26,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-02,11908.01,231610,11775,452,1223,56728.03,229
2024-02-26,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-02,8496.18,174334,8583,366,1013,41868.28,211
2024-02-26,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-02,13882.63,981764,11731,225,574,29747.57,117
2024-02-26,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-02,9725.83,777083,10341,208,575,24021.48,111
2024-02-26,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-02,6895.48,569236,7289,159,434,18087.78,95
2024-02-26,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-02,8023.66,1556912,6531,64,166,7591.97,34
2024-02-26,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-02,5964.61,1239542,5350,55,156,5829.07,31
2024-02-26,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-02,4163.61,855909,3383,37,101,3957.15,22
2024-02-26,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-02,10305.88,514839,5119,77,208,9513.62,39
2024-02-26,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-02,7593.04,416544,4475,75,214,8355.37,42
2024-02-26,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-02,5305.29,278116,2588,46,116,5457.45,31
2024-02-26,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-02,9350.85,129760,4585,248,682,34324.36,129
2024-02-26,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-02,6808.36,78811,2583,153,416,20077.41,91
2024-02-26,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-02,4232.92,52809,1517,87,213,12289.81,53
2024-02-26,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-02,7610.24,144482,6379,302,839,35463.14,164
2024-02-26,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-02,5533.51,94683,3851,201,532,23277.38,124
2024-02-26,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-02,3652.55,66554,2390,128,308,15967.17,83
2024-02-26,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-02,6400.17,161826,3538,120,327,13717.06,67
2024-02-26,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-02,4669.14,106725,2021,76,187,9040.55,48
2024-02-26,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-02,2528.72,74370,1479,46,113,5821.02,26
2024-03-04,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-03,21573.94,440640,22464,991,2715,113298.67,594
2024-03-04,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-03,14777.86,281002,12452,599,1485,73578.49,403
2024-03-04,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-03,8551.46,152732,7085,304,770,39617.19,182
2024-03-04,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-03,17490.25,1393346,15560,354,871,41402.08,222
2024-03-04,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-03,10500.19,782044,8562,183,440,22793.52,109
2024-03-04,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-03,5779.99,424133,5219,96,248,12144.81,44
2024-03-04,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-03,10572.84,2097584,8583,100,264,11013.67,65
2024-03-04,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-03,6414.46,1196667,4576,53,130,6194.43,33
2024-03-04,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-03,3727.28,710714,3029,31,81,3718.48,15
2024-03-04,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-03,12663.27,646725,5269,95,224,11610.72,55
2024-03-04,Video,EMEA,Video,Paid,International,2024,2024-Q1,2024-03,7129.13,340395,3078,45,114,5879.4,23
2024-03-04,Video,APAC,Video,Paid,International,2024,2024-Q1,2024-03,4501.54,244807,2476,38,103,4318.06,20
2024-03-04,Email,North America,CRM,Owned,Americas,2024,2024-Q1,2024-03,10750.49,133810,4012,259,624,37642.85,167
2024-03-04,Email,EMEA,CRM,Owned,International,2024,2024-Q1,2024-03,6421.11,96814,3220,179,463,27645.3,98
2024-03-04,Email,APAC,CRM,Owned,International,2024,2024-Q1,2024-03,4082.97,56552,2035,112,308,16475.65,60
2024-03-04,Organic Search,North America,Search,Earned,Americas,2024,2024-Q1,2024-03,7584.21,168473,6355,292,720,37289.1,160
2024-03-04,Organic Search,EMEA,Search,Earned,International,2024,2024-Q1,2024-03,4659.97,109098,4511,191,509,24093.07,93
2024-03-04,Organic Search,APAC,Search,Earned,International,2024,2024-Q1,2024-03,3321.87,59785,2695,129,370,14642.17,71
2024-03-04,Affiliate,North America,Partner,Paid,Americas,2024,2024-Q1,2024-03,6439.7,189821,3957,133,333,17298.12,81
2024-03-04,Affiliate,EMEA,Partner,Paid,International,2024,2024-Q1,2024-03,3958.67,128339,2917,92,244,11769.8,48
2024-03-04,Affiliate,APAC,Partner,Paid,International,2024,2024-Q1,2024-03,2822.41,71298,1590,56,153,6508.24,31
2024-03-11,Paid Search,North America,Search,Paid,Americas,2024,2024-Q1,2024-03,18090.34,330712,16261,595,1559,75485.46,290
2024-03-11,Paid Search,EMEA,Search,Paid,International,2024,2024-Q1,2024-03,13403.2,273598,14620,600,1687,68109.29,331
2024-03-11,Paid Search,APAC,Search,Paid,International,2024,2024-Q1,2024-03,9400.86,190188,9307,416,1105,48227.85,256
2024-03-11,Paid Social,North America,Social,Paid,Americas,2024,2024-Q1,2024-03,14768.77,1158153,14821,282,755,35127.4,148
2024-03-11,Paid Social,EMEA,Social,Paid,International,2024,2024-Q1,2024-03,10943.33,905616,11219,237,650,26900.58,136
2024-03-11,Paid Social,APAC,Social,Paid,International,2024,2024-Q1,2024-03,7619.47,602413,6816,158,408,18642.48,99
2024-03-11,Display,North America,Display,Paid,Americas,2024,2024-Q1,2024-03,9075.95,1779473,7898,78,216,8601.77,41
2024-03-11,Display,EMEA,Display,Paid,International,2024,2024-Q1,2024-03,6612.4,1403305,6330,70,194,7281.58,41
2024-03-11,Display,APAC,Display,Paid,International,2024,2024-Q1,2024-03,4648.96,914936,3584,44,102,4892.42,30
2024-03-11,Video,North America,Video,Paid,Americas,2024,2024-Q1,2024-03,11598.31,635604,6228,101,278,11529.28,56
