Month,Source,Segment,Stage,Source Type,Stage Order,Year,Quarter,Month Label,Cycle Days,Records,Pipeline Value,Won Value,Visitors,Leads,MQLs,SQLs,Opportunities,Customers,Cycle Pool
2024-01-01,Paid Social,Enterprise,Leads,Paid,2,2024,2024-Q1,2024-01,0,825,0,0,0,825,0,0,0,0,0
2024-01-01,Paid Social,Enterprise,MQL,Paid,3,2024,2024-Q1,2024-01,0,350,0,0,0,0,350,0,0,0,0
2024-01-01,Paid Social,Enterprise,SQL,Paid,4,2024,2024-Q1,2024-01,84.64,197,0,0,0,0,0,197,0,0,0
2024-01-01,Paid Social,Enterprise,Opportunity,Paid,5,2024,2024-Q1,2024-01,84.64,118,3352909,0,0,0,0,0,118,0,0
2024-01-01,Paid Social,Enterprise,Customer,Paid,6,2024,2024-Q1,2024-01,84.64,55,1549940,1549940,0,0,0,0,0,55,4655.2
2024-01-01,Paid Social,Mid-Market,Visitors,Paid,1,2024,2024-Q1,2024-01,0,18375,0,0,18375,0,0,0,0,0,0
2024-01-01,Paid Social,Mid-Market,Leads,Paid,2,2024,2024-Q1,2024-01,0,1325,0,0,0,1325,0,0,0,0,0
2024-01-01,Paid Social,Mid-Market,MQL,Paid,3,2024,2024-Q1,2024-01,0,582,0,0,0,0,582,0,0,0,0
2024-01-01,Paid Social,Mid-Market,SQL,Paid,4,2024,2024-Q1,2024-01,45.24,326,0,0,0,0,0,326,0,0,0
2024-01-01,Paid Social,Mid-Market,Opportunity,Paid,5,2024,2024-Q1,2024-01,45.24,208,2006610,0,0,0,0,0,208,0,0
2024-01-01,Paid Social,Mid-Market,Customer,Paid,6,2024,2024-Q1,2024-01,45.24,74,717123,717123,0,0,0,0,0,74,3347.76
2024-01-01,Paid Social,SMB,Visitors,Paid,1,2024,2024-Q1,2024-01,0,23525,0,0,23525,0,0,0,0,0,0
2024-01-01,Paid Social,SMB,Leads,Paid,2,2024,2024-Q1,2024-01,0,1736,0,0,0,1736,0,0,0,0,0
2024-01-01,Paid Social,SMB,MQL,Paid,3,2024,2024-Q1,2024-01,0,747,0,0,0,0,747,0,0,0,0
2024-01-01,Paid Social,SMB,SQL,Paid,4,2024,2024-Q1,2024-01,21.5,412,0,0,0,0,0,412,0,0,0
2024-01-01,Paid Social,SMB,Opportunity,Paid,5,2024,2024-Q1,2024-01,21.5,255,815468,0,0,0,0,0,255,0,0
2024-01-01,Paid Social,SMB,Customer,Paid,6,2024,2024-Q1,2024-01,21.5,87,278465,278465,0,0,0,0,0,87,1870.5
2024-01-01,Organic Search,Enterprise,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,15356,0,0,15356,0,0,0,0,0,0
2024-01-01,Organic Search,Enterprise,Leads,Inbound,2,2024,2024-Q1,2024-01,0,1759,0,0,0,1759,0,0,0,0,0
2024-01-01,Organic Search,Enterprise,MQL,Inbound,3,2024,2024-Q1,2024-01,0,747,0,0,0,0,747,0,0,0,0
2024-01-01,Organic Search,Enterprise,SQL,Inbound,4,2024,2024-Q1,2024-01,91.17,400,0,0,0,0,0,400,0,0,0
2024-01-01,Organic Search,Enterprise,Opportunity,Inbound,5,2024,2024-Q1,2024-01,91.17,250,7166108,0,0,0,0,0,250,0,0
2024-01-01,Organic Search,Enterprise,Customer,Inbound,6,2024,2024-Q1,2024-01,91.17,108,3101357,3101357,0,0,0,0,0,108,9846.36
2024-01-01,Organic Search,Mid-Market,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,22828,0,0,22828,0,0,0,0,0,0
2024-01-01,Organic Search,Mid-Market,Leads,Inbound,2,2024,2024-Q1,2024-01,0,2635,0,0,0,2635,0,0,0,0,0
2024-01-01,Organic Search,Mid-Market,MQL,Inbound,3,2024,2024-Q1,2024-01,0,1096,0,0,0,0,1096,0,0,0,0
2024-01-01,Organic Search,Mid-Market,SQL,Inbound,4,2024,2024-Q1,2024-01,45.81,598,0,0,0,0,0,598,0,0,0
2024-01-01,Organic Search,Mid-Market,Opportunity,Inbound,5,2024,2024-Q1,2024-01,45.81,365,3305349,0,0,0,0,0,365,0,0
2024-01-01,Organic Search,Mid-Market,Customer,Inbound,6,2024,2024-Q1,2024-01,45.81,132,1197979,1197979,0,0,0,0,0,132,6046.92
2024-01-01,Organic Search,SMB,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,30771,0,0,30771,0,0,0,0,0,0
2024-01-01,Organic Search,SMB,Leads,Inbound,2,2024,2024-Q1,2024-01,0,3596,0,0,0,3596,0,0,0,0,0
2024-01-01,Organic Search,SMB,MQL,Inbound,3,2024,2024-Q1,2024-01,0,1484,0,0,0,0,1484,0,0,0,0
2024-01-01,Organic Search,SMB,SQL,Inbound,4,2024,2024-Q1,2024-01,20.63,819,0,0,0,0,0,819,0,0,0
2024-01-01,Organic Search,SMB,Opportunity,Inbound,5,2024,2024-Q1,2024-01,20.63,492,1541536,0,0,0,0,0,492,0,0
2024-01-01,Organic Search,SMB,Customer,Inbound,6,2024,2024-Q1,2024-01,20.63,162,506911,506911,0,0,0,0,0,162,3342.06
2024-01-01,Email,Enterprise,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,4686,0,0,4686,0,0,0,0,0,0
2024-01-01,Email,Enterprise,Leads,Nurture,2,2024,2024-Q1,2024-01,0,607,0,0,0,607,0,0,0,0,0
2024-01-01,Email,Enterprise,MQL,Nurture,3,2024,2024-Q1,2024-01,0,252,0,0,0,0,252,0,0,0,0
2024-01-01,Email,Enterprise,SQL,Nurture,4,2024,2024-Q1,2024-01,86.58,139,0,0,0,0,0,139,0,0,0
2024-01-01,Email,Enterprise,Opportunity,Nurture,5,2024,2024-Q1,2024-01,86.58,89,2635932,0,0,0,0,0,89,0,0
2024-01-01,Email,Enterprise,Customer,Nurture,6,2024,2024-Q1,2024-01,86.58,38,1139929,1139929,0,0,0,0,0,38,3290.04
2024-01-01,Email,Mid-Market,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,7118,0,0,7118,0,0,0,0,0,0
2024-01-01,Email,Mid-Market,Leads,Nurture,2,2024,2024-Q1,2024-01,0,936,0,0,0,936,0,0,0,0,0
2024-01-01,Email,Mid-Market,MQL,Nurture,3,2024,2024-Q1,2024-01,0,374,0,0,0,0,374,0,0,0,0
2024-01-01,Email,Mid-Market,SQL,Nurture,4,2024,2024-Q1,2024-01,46.25,210,0,0,0,0,0,210,0,0,0
2024-01-01,Email,Mid-Market,Opportunity,Nurture,5,2024,2024-Q1,2024-01,46.25,135,1255620,0,0,0,0,0,135,0,0
2024-01-01,Email,Mid-Market,Customer,Nurture,6,2024,2024-Q1,2024-01,46.25,53,490423,490423,0,0,0,0,0,53,2451.25
2024-01-01,Email,SMB,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,8686,0,0,8686,0,0,0,0,0,0
2024-01-01,Email,SMB,Leads,Nurture,2,2024,2024-Q1,2024-01,0,1129,0,0,0,1129,0,0,0,0,0
2024-01-01,Email,SMB,MQL,Nurture,3,2024,2024-Q1,2024-01,0,469,0,0,0,0,469,0,0,0,0
2024-01-01,Email,SMB,SQL,Nurture,4,2024,2024-Q1,2024-01,21.51,268,0,0,0,0,0,268,0,0,0
2024-01-01,Email,SMB,Opportunity,Nurture,5,2024,2024-Q1,2024-01,21.51,164,494694,0,0,0,0,0,164,0,0
2024-01-01,Email,SMB,Customer,Nurture,6,2024,2024-Q1,2024-01,21.51,57,171748,171748,0,0,0,0,0,57,1226.07
2024-01-01,Webinar,Enterprise,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,1802,0,0,1802,0,0,0,0,0,0
2024-01-01,Webinar,Enterprise,Leads,Nurture,2,2024,2024-Q1,2024-01,0,282,0,0,0,282,0,0,0,0,0
2024-01-01,Webinar,Enterprise,MQL,Nurture,3,2024,2024-Q1,2024-01,0,115,0,0,0,0,115,0,0,0,0
2024-01-01,Webinar,Enterprise,SQL,Nurture,4,2024,2024-Q1,2024-01,87.66,64,0,0,0,0,0,64,0,0,0
2024-01-01,Webinar,Enterprise,Opportunity,Nurture,5,2024,2024-Q1,2024-01,87.66,37,1039851,0,0,0,0,0,37,0,0
2024-01-01,Webinar,Enterprise,Customer,Nurture,6,2024,2024-Q1,2024-01,87.66,23,635353,635353,0,0,0,0,0,23,2016.18
2024-01-01,Webinar,Mid-Market,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,2913,0,0,2913,0,0,0,0,0,0
2024-01-01,Webinar,Mid-Market,Leads,Nurture,2,2024,2024-Q1,2024-01,0,453,0,0,0,453,0,0,0,0,0
2024-01-01,Webinar,Mid-Market,MQL,Nurture,3,2024,2024-Q1,2024-01,0,186,0,0,0,0,186,0,0,0,0
2024-01-01,Webinar,Mid-Market,SQL,Nurture,4,2024,2024-Q1,2024-01,45.09,103,0,0,0,0,0,103,0,0,0
2024-01-01,Webinar,Mid-Market,Opportunity,Nurture,5,2024,2024-Q1,2024-01,45.09,61,569536,0,0,0,0,0,61,0,0
2024-01-01,Webinar,Mid-Market,Customer,Nurture,6,2024,2024-Q1,2024-01,45.09,24,221706,221706,0,0,0,0,0,24,1082.16
2024-01-01,Webinar,SMB,Visitors,Nurture,1,2024,2024-Q1,2024-01,0,3911,0,0,3911,0,0,0,0,0,0
2024-01-01,Webinar,SMB,Leads,Nurture,2,2024,2024-Q1,2024-01,0,605,0,0,0,605,0,0,0,0,0
2024-01-01,Webinar,SMB,MQL,Nurture,3,2024,2024-Q1,2024-01,0,257,0,0,0,0,257,0,0,0,0
2024-01-01,Webinar,SMB,SQL,Nurture,4,2024,2024-Q1,2024-01,20.76,138,0,0,0,0,0,138,0,0,0
2024-01-01,Webinar,SMB,Opportunity,Nurture,5,2024,2024-Q1,2024-01,20.76,87,280955,0,0,0,0,0,87,0,0
2024-01-01,Webinar,SMB,Customer,Nurture,6,2024,2024-Q1,2024-01,20.76,27,86861,86861,0,0,0,0,0,27,560.52
2024-01-01,Partner,Enterprise,Visitors,Partner,1,2024,2024-Q1,2024-01,0,3168,0,0,3168,0,0,0,0,0,0
2024-01-01,Partner,Enterprise,Leads,Partner,2,2024,2024-Q1,2024-01,0,312,0,0,0,312,0,0,0,0,0
2024-01-01,Partner,Enterprise,MQL,Partner,3,2024,2024-Q1,2024-01,0,132,0,0,0,0,132,0,0,0,0
2024-01-01,Partner,Enterprise,SQL,Partner,4,2024,2024-Q1,2024-01,88.28,72,0,0,0,0,0,72,0,0,0
2024-01-01,Partner,Enterprise,Opportunity,Partner,5,2024,2024-Q1,2024-01,88.28,47,1378258,0,0,0,0,0,47,0,0
2024-01-01,Partner,Enterprise,Customer,Partner,6,2024,2024-Q1,2024-01,88.28,23,656185,656185,0,0,0,0,0,23,2030.44
2024-01-01,Partner,Mid-Market,Visitors,Partner,1,2024,2024-Q1,2024-01,0,4733,0,0,4733,0,0,0,0,0,0
2024-01-01,Partner,Mid-Market,Leads,Partner,2,2024,2024-Q1,2024-01,0,464,0,0,0,464,0,0,0,0,0
2024-01-01,Partner,Mid-Market,MQL,Partner,3,2024,2024-Q1,2024-01,0,202,0,0,0,0,202,0,0,0,0
2024-01-01,Partner,Mid-Market,SQL,Partner,4,2024,2024-Q1,2024-01,47.14,111,0,0,0,0,0,111,0,0,0
2024-01-01,Partner,Mid-Market,Opportunity,Partner,5,2024,2024-Q1,2024-01,47.14,67,608352,0,0,0,0,0,67,0,0
2024-01-01,Partner,Mid-Market,Customer,Partner,6,2024,2024-Q1,2024-01,47.14,25,226262,226262,0,0,0,0,0,25,1178.5
2024-01-01,Partner,SMB,Visitors,Partner,1,2024,2024-Q1,2024-01,0,6217,0,0,6217,0,0,0,0,0,0
2024-01-01,Partner,SMB,Leads,Partner,2,2024,2024-Q1,2024-01,0,625,0,0,0,625,0,0,0,0,0
2024-01-01,Partner,SMB,MQL,Partner,3,2024,2024-Q1,2024-01,0,270,0,0,0,0,270,0,0,0,0
2024-01-01,Partner,SMB,SQL,Partner,4,2024,2024-Q1,2024-01,21.3,149,0,0,0,0,0,149,0,0,0
2024-01-01,Partner,SMB,Opportunity,Partner,5,2024,2024-Q1,2024-01,21.3,93,288550,0,0,0,0,0,93,0,0
2024-01-01,Partner,SMB,Customer,Partner,6,2024,2024-Q1,2024-01,21.3,28,86644,86644,0,0,0,0,0,28,596.4
2024-01-01,Direct,Enterprise,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,7324,0,0,7324,0,0,0,0,0,0
2024-01-01,Direct,Enterprise,Leads,Inbound,2,2024,2024-Q1,2024-01,0,661,0,0,0,661,0,0,0,0,0
2024-01-01,Direct,Enterprise,MQL,Inbound,3,2024,2024-Q1,2024-01,0,281,0,0,0,0,281,0,0,0,0
2024-01-01,Direct,Enterprise,SQL,Inbound,4,2024,2024-Q1,2024-01,87.72,151,0,0,0,0,0,151,0,0,0
2024-01-01,Direct,Enterprise,Opportunity,Inbound,5,2024,2024-Q1,2024-01,87.72,95,2739850,0,0,0,0,0,95,0,0
2024-01-01,Direct,Enterprise,Customer,Inbound,6,2024,2024-Q1,2024-01,87.72,42,1207873,1207873,0,0,0,0,0,42,3684.24
2024-01-01,Direct,Mid-Market,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,11532,0,0,11532,0,0,0,0,0,0
2024-01-01,Direct,Mid-Market,Leads,Inbound,2,2024,2024-Q1,2024-01,0,1046,0,0,0,1046,0,0,0,0,0
2024-01-01,Direct,Mid-Market,MQL,Inbound,3,2024,2024-Q1,2024-01,0,439,0,0,0,0,439,0,0,0,0
2024-01-01,Direct,Mid-Market,SQL,Inbound,4,2024,2024-Q1,2024-01,44.62,235,0,0,0,0,0,235,0,0,0
2024-01-01,Direct,Mid-Market,Opportunity,Inbound,5,2024,2024-Q1,2024-01,44.62,140,1323599,0,0,0,0,0,140,0,0
2024-01-01,Direct,Mid-Market,Customer,Inbound,6,2024,2024-Q1,2024-01,44.62,53,500343,500343,0,0,0,0,0,53,2364.86
2024-01-01,Direct,SMB,Visitors,Inbound,1,2024,2024-Q1,2024-01,0,14465,0,0,14465,0,0,0,0,0,0
2024-01-01,Direct,SMB,Leads,Inbound,2,2024,2024-Q1,2024-01,0,1337,0,0,0,1337,0,0,0,0,0
2024-01-01,Direct,SMB,MQL,Inbound,3,2024,2024-Q1,2024-01,0,561,0,0,0,0,561,0,0,0,0
2024-01-01,Direct,SMB,SQL,Inbound,4,2024,2024-Q1,2024-01,21.56,307,0,0,0,0,0,307,0,0,0
2024-01-01,Direct,SMB,Opportunity,Inbound,5,2024,2024-Q1,2024-01,21.56,188,590493,0,0,0,0,0,188,0,0
2024-01-01,Direct,SMB,Customer,Inbound,6,2024,2024-Q1,2024-01,21.56,61,191571,191571,0,0,0,0,0,61,1315.16
2024-02-01,Paid Search,Enterprise,Visitors,Paid,1,2024,2024-Q1,2024-02,0,9482,0,0,9482,0,0,0,0,0,0
2024-02-01,Paid Search,Enterprise,Leads,Paid,2,2024,2024-Q1,2024-02,0,1021,0,0,0,1021,0,0,0,0,0
2024-02-01,Paid Search,Enterprise,MQL,Paid,3,2024,2024-Q1,2024-02,0,424,0,0,0,0,424,0,0,0,0
2024-02-01,Paid Search,Enterprise,SQL,Paid,4,2024,2024-Q1,2024-02,88.64,233,0,0,0,0,0,233,0,0,0
2024-02-01,Paid Search,Enterprise,Opportunity,Paid,5,2024,2024-Q1,2024-02,88.64,139,3886991,0,0,0,0,0,139,0,0
2024-02-01,Paid Search,Enterprise,Customer,Paid,6,2024,2024-Q1,2024-02,88.64,60,1673013,1673013,0,0,0,0,0,60,5318.4
2024-02-01,Paid Search,Mid-Market,Visitors,Paid,1,2024,2024-Q1,2024-02,0,15117,0,0,15117,0,0,0,0,0,0
2024-02-01,Paid Search,Mid-Market,Leads,Paid,2,2024,2024-Q1,2024-02,0,1638,0,0,0,1638,0,0,0,0,0
2024-02-01,Paid Search,Mid-Market,MQL,Paid,3,2024,2024-Q1,2024-02,0,663,0,0,0,0,663,0,0,0,0
2024-02-01,Paid Search,Mid-Market,SQL,Paid,4,2024,2024-Q1,2024-02,45.31,360,0,0,0,0,0,360,0,0,0
2024-02-01,Paid Search,Mid-Market,Opportunity,Paid,5,2024,2024-Q1,2024-02,45.31,215,2019777,0,0,0,0,0,215,0,0
2024-02-01,Paid Search,Mid-Market,Customer,Paid,6,2024,2024-Q1,2024-02,45.31,77,724791,724791,0,0,0,0,0,77,3488.87
2024-02-01,Paid Search,SMB,Visitors,Paid,1,2024,2024-Q1,2024-02,0,20234,0,0,20234,0,0,0,0,0,0
2024-02-01,Paid Search,SMB,Leads,Paid,2,2024,2024-Q1,2024-02,0,2151,0,0,0,2151,0,0,0,0,0
2024-02-01,Paid Search,SMB,MQL,Paid,3,2024,2024-Q1,2024-02,0,892,0,0,0,0,892,0,0,0,0
2024-02-01,Paid Search,SMB,SQL,Paid,4,2024,2024-Q1,2024-02,20.64,477,0,0,0,0,0,477,0,0,0
2024-02-01,Paid Search,SMB,Opportunity,Paid,5,2024,2024-Q1,2024-02,20.64,291,942937,0,0,0,0,0,291,0,0
2024-02-01,Paid Search,SMB,Customer,Paid,6,2024,2024-Q1,2024-02,20.64,99,320322,320322,0,0,0,0,0,99,2043.36
2024-02-01,Paid Social,Enterprise,Visitors,Paid,1,2024,2024-Q1,2024-02,0,11956,0,0,11956,0,0,0,0,0,0
2024-02-01,Paid Social,Enterprise,Leads,Paid,2,2024,2024-Q1,2024-02,0,917,0,0,0,917,0,0,0,0,0
2024-02-01,Paid Social,Enterprise,MQL,Paid,3,2024,2024-Q1,2024-02,0,389,0,0,0,0,389,0,0,0,0
2024-02-01,Paid Social,Enterprise,SQL,Paid,4,2024,2024-Q1,2024-02,87.55,220,0,0,0,0,0,220,0,0,0
2024-02-01,Paid Social,Enterprise,Opportunity,Paid,5,2024,2024-Q1,2024-02,87.55,135,3885665,0,0,0,0,0,135,0,0
2024-02-01,Paid Social,Enterprise,Customer,Paid,6,2024,2024-Q1,2024-02,87.55,59,1696313,1696313,0,0,0,0,0,59,5165.45
2024-02-01,Paid Social,Mid-Market,Visitors,Paid,1,2024,2024-Q1,2024-02,0,17644,0,0,17644,0,0,0,0,0,0
2024-02-01,Paid Social,Mid-Market,Leads,Paid,2,2024,2024-Q1,2024-02,0,1334,0,0,0,1334,0,0,0,0,0
2024-02-01,Paid Social,Mid-Market,MQL,Paid,3,2024,2024-Q1,2024-02,0,553,0,0,0,0,553,0,0,0,0
2024-02-01,Paid Social,Mid-Market,SQL,Paid,4,2024,2024-Q1,2024-02,48.05,311,0,0,0,0,0,311,0,0,0
2024-02-01,Paid Social,Mid-Market,Opportunity,Paid,5,2024,2024-Q1,2024-02,48.05,190,1745766,0,0,0,0,0,190,0,0
2024-02-01,Paid Social,Mid-Market,Customer,Paid,6,2024,2024-Q1,2024-02,48.05,68,628223,628223,0,0,0,0,0,68,3267.4
2024-02-01,Paid Social,SMB,Visitors,Paid,1,2024,2024-Q1,2024-02,0,23233,0,0,23233,0,0,0,0,0,0
2024-02-01,Paid Social,SMB,Leads,Paid,2,2024,2024-Q1,2024-02,0,1728,0,0,0,1728,0,0,0,0,0
2024-02-01,Paid Social,SMB,MQL,Paid,3,2024,2024-Q1,2024-02,0,736,0,0,0,0,736,0,0,0,0
2024-02-01,Paid Social,SMB,SQL,Paid,4,2024,2024-Q1,2024-02,21.53,407,0,0,0,0,0,407,0,0,0
2024-02-01,Paid Social,SMB,Opportunity,Paid,5,2024,2024-Q1,2024-02,21.53,253,787003,0,0,0,0,0,253,0,0
2024-02-01,Paid Social,SMB,Customer,Paid,6,2024,2024-Q1,2024-02,21.53,87,270192,270192,0,0,0,0,0,87,1873.11
2024-02-01,Organic Search,Enterprise,Visitors,Inbound,1,2024,2024-Q1,2024-02,0,15500,0,0,15500,0,0,0,0,0,0
2024-02-01,Organic Search,Enterprise,Leads,Inbound,2,2024,2024-Q1,2024-02,0,1787,0,0,0,1787,0,0,0,0,0
2024-02-01,Organic Search,Enterprise,MQL,Inbound,3,2024,2024-Q1,2024-02,0,748,0,0,0,0,748,0,0,0,0
2024-02-01,Organic Search,Enterprise,SQL,Inbound,4,2024,2024-Q1,2024-02,86.72,403,0,0,0,0,0,403,0,0,0
2024-02-01,Organic Search,Enterprise,Opportunity,Inbound,5,2024,2024-Q1,2024-02,86.72,245,7118434,0,0,0,0,0,245,0,0
2024-02-01,Organic Search,Enterprise,Customer,Inbound,6,2024,2024-Q1,2024-02,86.72,108,3140272,3140272,0,0,0,0,0,108,9365.76
2024-02-01,Organic Search,Mid-Market,Visitors,Inbound,1,2024,2024-Q1,2024-02,0,24206,0,0,24206,0,0,0,0,0,0
2024-02-01,Organic Search,Mid-Market,Leads,Inbound,2,2024,2024-Q1,2024-02,0,2735,0,0,0,2735,0,0,0,0,0
2024-02-01,Organic Search,Mid-Market,MQL,Inbound,3,2024,2024-Q1,2024-02,0,1148,0,0,0,0,1148,0,0,0,0
2024-02-01,Organic Search,Mid-Market,SQL,Inbound,4,2024,2024-Q1,2024-02,44.44,609,0,0,0,0,0,609,0,0,0
2024-02-01,Organic Search,Mid-Market,Opportunity,Inbound,5,2024,2024-Q1,2024-02,44.44,382,3621573,0,0,0,0,0,382,0,0
2024-02-01,Organic Search,Mid-Market,Customer,Inbound,6,2024,2024-Q1,2024-02,44.44,136,1282782,1282782,0,0,0,0,0,136,6043.84
2024-02-01,Organic Search,SMB,Visitors,Inbound,1,2024,2024-Q1,2024-02,0,30366,0,0,30366,0,0,0,0,0,0
2024-02-01,Organic Search,SMB,Leads,Inbound,2,2024,2024-Q1,2024-02,0,3453,0,0,0,3453,0,0,0,0,0
2024-02-01,Organic Search,SMB,MQL,Inbound,3,2024,2024-Q1,2024-02,0,1423,0,0,0,0,1423,0,0,0,0
2024-02-01,Organic Search,SMB,SQL,Inbound,4,2024,2024-Q1,2024-02,21.39,760,0,0,0,0,0,760,0,0,0
2024-02-01,Organic Search,SMB,Opportunity,Inbound,5,2024,2024-Q1,2024-02,21.39,488,1535612,0,0,0,0,0,488,0,0
2024-02-01,Organic Search,SMB,Customer,Inbound,6,2024,2024-Q1,2024-02,21.39,162,508780,508780,0,0,0,0,0,162,3465.18
2024-02-01,Email,Enterprise,Visitors,Nurture,1,2024,2024-Q1,2024-02,0,4471,0,0,4471,0,0,0,0,0,0
2024-02-01,Email,Enterprise,Leads,Nurture,2,2024,2024-Q1,2024-02,0,589,0,0,0,589,0,0,0,0,0
2024-02-01,Email,Enterprise,MQL,Nurture,3,2024,2024-Q1,2024-02,0,255,0,0,0,0,255,0,0,0,0
2024-02-01,Email,Enterprise,SQL,Nurture,4,2024,2024-Q1,2024-02,90.43,139,0,0,0,0,0,139,0,0,0
2024-02-01,Email,Enterprise,Opportunity,Nurture,5,2024,2024-Q1,2024-02,90.43,86,2429581,0,0,0,0,0,86,0,0
2024-02-01,Email,Enterprise,Customer,Nurture,6,2024,2024-Q1,2024-02,90.43,40,1129301,1129301,0,0,0,0,0,40,3617.2
2024-02-01,Email,Mid-Market,Visitors,Nurture,1,2024,2024-Q1,2024-02,0,7045,0,0,7045,0,0,0,0,0,0
2024-02-01,Email,Mid-Market,Leads,Nurture,2,2024,2024-Q1,2024-02,0,919,0,0,0,919,0,0,0,0,0
2024-02-01,Email,Mid-Market,MQL,Nurture,3,2024,2024-Q1,2024-02,0,399,0,0,0,0,399,0,0,0,0
2024-02-01,Email,Mid-Market,SQL,Nurture,4,2024,2024-Q1,2024-02,47.3,213,0,0,0,0,0,213,0,0,0
2024-02-01,Email,Mid-Market,Opportunity,Nurture,5,2024,2024-Q1,2024-02,47.3,132,1213254,0,0,0,0,0,132,0,0
2024-02-01,Email,Mid-Market,Customer,Nurture,6,2024,2024-Q1,2024-02,47.3,51,465765,465765,0,0,0,0,0,51,2412.3
2024-02-01,Email,SMB,Visitors,Nurture,1,2024,2024-Q1,2024-02,0,9255,0,0,9255,0,0,0,0,0,0
2024-02-01,Email,SMB,Leads,Nurture,2,2024,2024-Q1,2024-02,0,1226,0,0,0,1226,0,0,0,0,0
2024-02-01,Email,SMB,MQL,Nurture,3,2024,2024-Q1,2024-02,0,519,0,0,0,0,519,0,0,0,0
2024-02-01,Email,SMB,SQL,Nurture,4,2024,2024-Q1,2024-02,20.1,289,0,0,0,0,0,289,0,0,0
2024-02-01,Email,SMB,Opportunity,Nurture,5,2024,2024-Q1,2024-02,20.1,179,562570,0,0,0,0,0,179,0,0
2024-02-01,Email,SMB,Customer,Nurture,6,2024,2024-Q1,2024-02,20.1,59,184971,184971,0,0,0,0,0,59,1185.9
2024-02-01,Webinar,Enterprise,Visitors,Nurture,1,2024,2024-Q1,2024-02,0,1926,0,0,1926,0,0,0,0,0,0
2024-02-01,Webinar,Enterprise,Leads,Nurture,2,2024,2024-Q1,2024-02,0,300,0,0,0,300,0,0,0,0,0
2024-02-01,Webinar,Enterprise,MQL,Nurture,3,2024,2024-Q1,2024-02,0,125,0,0,0,0,125,0,0,0,0
