Week,Campaign,Device,Platform,Objective,Funnel Stage,Year,Quarter,Month,Cost,Impressions,Reach,Clicks,Conversions,Conversion Value,Video Views
2024-01-01,DV360-CTV-Reach,Connected TV,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,669.14,24415,10149,73,0,0,7348
2024-01-08,BR-Search-Brand-Core,Desktop,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1450.17,13625,5202,1242,111,15497.68,0
2024-01-08,BR-Search-Brand-Core,Mobile,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1572.64,14375,5586,1429,108,15461.17,0
2024-01-08,BR-Search-Brand-Core,Tablet,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,290.46,2613,1031,227,16,2341.59,0
2024-01-08,BR-Search-Brand-Core,Connected TV,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,219.69,1481,624,135,10,1425.65,0
2024-01-08,NB-Search-Generic-Solutions,Desktop,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,6209.98,57494,21413,1914,62,15373.72,0
2024-01-08,NB-Search-Generic-Solutions,Mobile,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,6646.22,62342,24894,2249,60,14601.86,0
2024-01-08,NB-Search-Generic-Solutions,Tablet,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1430.12,13665,5680,442,11,2649.24,0
2024-01-08,NB-Search-Generic-Solutions,Connected TV,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1166.12,8029,3092,267,8,1984.78,0
2024-01-08,PMax-Retail-Feed,Desktop,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5532.2,316719,127316,6406,304,24430.62,0
2024-01-08,PMax-Retail-Feed,Mobile,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5925.69,333278,140163,7670,298,24460.87,0
2024-01-08,PMax-Retail-Feed,Tablet,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,1179.76,67091,26109,1465,56,4542.44,0
2024-01-08,PMax-Retail-Feed,Connected TV,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,952.22,40494,16712,860,33,2649.45,0
2024-01-08,YT-Awareness-InStream,Desktop,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3655.7,380938,147205,2348,17,3081.29,113296
2024-01-08,YT-Awareness-InStream,Mobile,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,4159.37,423656,168146,2966,18,3299.89,131100
2024-01-08,YT-Awareness-InStream,Tablet,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,780.84,77556,31759,489,1,180.56,24979
2024-01-08,YT-Awareness-InStream,Connected TV,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,591.23,43895,18930,285,0,0,13884
2024-01-08,FB-Prospecting-LAL-3pct,Desktop,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4580.94,525927,208239,5306,80,7611.72,0
2024-01-08,FB-Prospecting-LAL-3pct,Mobile,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4859.27,563596,204270,6171,77,7234.6,0
2024-01-08,FB-Prospecting-LAL-3pct,Tablet,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,1040.71,122962,46570,1199,14,1293.98,0
2024-01-08,FB-Prospecting-LAL-3pct,Connected TV,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,797.79,67932,26556,648,8,765.69,0
2024-01-08,IG-Retargeting-Cart-7d,Desktop,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3067.65,227359,93470,4286,231,19464.99,0
2024-01-08,IG-Retargeting-Cart-7d,Mobile,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3325.41,239869,102495,4848,213,18406.86,0
2024-01-08,IG-Retargeting-Cart-7d,Tablet,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,653.3,48089,19183,915,40,3542.22,0
2024-01-08,IG-Retargeting-Cart-7d,Connected TV,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,534.44,29307,12344,548,25,2207.21,0
2024-01-08,FB-Catalog-DPA-Evergreen,Desktop,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4081.44,433216,173263,6301,279,22164.14,0
2024-01-08,FB-Catalog-DPA-Evergreen,Mobile,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4700.68,485188,198946,7671,295,23852.62,0
2024-01-08,FB-Catalog-DPA-Evergreen,Tablet,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,870.68,88448,36533,1261,47,3861.9,0
2024-01-08,FB-Catalog-DPA-Evergreen,Connected TV,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,667.26,50760,22861,749,27,2276.83,0
2024-01-08,LI-ABM-Enterprise-Tier1,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5227.18,108764,43753,611,15,12877.45,0
2024-01-08,LI-ABM-Enterprise-Tier1,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5599.95,117917,45149,753,14,11870.05,0
2024-01-08,LI-ABM-Enterprise-Tier1,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,1202.06,25517,10127,146,1,819.51,0
2024-01-08,LI-ABM-Enterprise-Tier1,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,910.29,13452,5488,75,0,0,0
2024-01-08,LI-Content-Whitepaper,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2185.78,49389,21040,353,6,2601.16,0
2024-01-08,LI-Content-Whitepaper,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2338.75,49674,22181,376,6,2667.58,0
2024-01-08,LI-Content-Whitepaper,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,465.21,9994,4062,72,0,0,0
2024-01-08,LI-Content-Whitepaper,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,375.95,6082,2605,43,0,0,0
2024-01-08,DV360-Display-Retarget,Desktop,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3196.56,605448,257219,2895,61,9173.2,0
2024-01-08,DV360-Display-Retarget,Mobile,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3647.03,695210,272058,3809,61,9060.18,0
2024-01-08,DV360-Display-Retarget,Tablet,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,726.42,141009,59224,687,12,1743.81,0
2024-01-08,DV360-Display-Retarget,Connected TV,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,556.64,77750,33296,376,5,745.57,0
2024-01-08,DV360-CTV-Reach,Desktop,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3831,184122,73649,540,0,0,56881
2024-01-08,DV360-CTV-Reach,Mobile,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,4153.74,194973,79388,614,1,891.12,62973
2024-01-08,DV360-CTV-Reach,Tablet,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,817.27,38885,14209,115,0,0,12368
2024-01-08,DV360-CTV-Reach,Connected TV,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,618.7,22090,8635,64,0,0,6797
2024-01-15,BR-Search-Brand-Core,Desktop,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1345.42,12467,5488,1111,93,13110.35,0
2024-01-15,BR-Search-Brand-Core,Mobile,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1535.12,14353,5922,1463,105,14692.62,0
2024-01-15,BR-Search-Brand-Core,Tablet,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,329.19,3128,1355,283,21,2916.64,0
2024-01-15,BR-Search-Brand-Core,Connected TV,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,252.42,1730,763,154,12,1695.01,0
2024-01-15,NB-Search-Generic-Solutions,Desktop,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,6609.85,59928,28294,2075,66,16480.99,0
2024-01-15,NB-Search-Generic-Solutions,Mobile,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,7165.48,65630,28316,2440,64,16500.82,0
2024-01-15,NB-Search-Generic-Solutions,Tablet,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1408.69,12646,5077,443,11,2794.15,0
2024-01-15,NB-Search-Generic-Solutions,Connected TV,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1151.47,7712,3225,265,7,1714.56,0
2024-01-15,PMax-Retail-Feed,Desktop,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5390.83,302811,132232,6277,300,24649.74,0
2024-01-15,PMax-Retail-Feed,Mobile,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,6229.08,353813,159600,7965,331,26954.78,0
2024-01-15,PMax-Retail-Feed,Tablet,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,1255.57,70141,32807,1397,58,4809.19,0
2024-01-15,PMax-Retail-Feed,Connected TV,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,949.82,39654,14802,820,32,2633.02,0
2024-01-15,YT-Awareness-InStream,Desktop,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3388.21,350860,156908,2080,15,2736.35,107228
2024-01-15,YT-Awareness-InStream,Mobile,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3867.3,403242,150022,2736,16,2885.52,120246
2024-01-15,YT-Awareness-InStream,Tablet,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,829.75,87440,34211,533,1,191.22,25630
2024-01-15,YT-Awareness-InStream,Connected TV,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,628.45,48042,19127,285,0,0,14579
2024-01-15,FB-Prospecting-LAL-3pct,Desktop,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4763.1,535276,226446,5279,82,7956.9,0
2024-01-15,FB-Prospecting-LAL-3pct,Mobile,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,5165.76,567353,249618,5917,75,7427.75,0
2024-01-15,FB-Prospecting-LAL-3pct,Tablet,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,1040.11,115410,47276,1145,14,1372.28,0
2024-01-15,FB-Prospecting-LAL-3pct,Connected TV,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,839.16,70093,26953,679,9,852.35,0
2024-01-15,IG-Retargeting-Cart-7d,Desktop,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3262.49,235342,95212,4549,251,21758.78,0
2024-01-15,IG-Retargeting-Cart-7d,Mobile,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3715.01,270399,112641,5263,246,21186.61,0
2024-01-15,IG-Retargeting-Cart-7d,Tablet,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,749.22,53513,22913,923,43,3762.45,0
2024-01-15,IG-Retargeting-Cart-7d,Connected TV,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,532.93,28554,10821,519,25,2165.36,0
2024-01-15,FB-Catalog-DPA-Evergreen,Desktop,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4075.42,423478,171835,5641,243,19530.83,0
2024-01-15,FB-Catalog-DPA-Evergreen,Mobile,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4365.68,462612,174910,7084,251,19898.04,0
2024-01-15,FB-Catalog-DPA-Evergreen,Tablet,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,926.09,99219,39653,1438,51,4151.43,0
2024-01-15,FB-Catalog-DPA-Evergreen,Connected TV,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,709.63,55024,22372,791,30,2404.45,0
2024-01-15,LI-ABM-Enterprise-Tier1,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5492.39,111466,48148,607,15,12658.41,0
2024-01-15,LI-ABM-Enterprise-Tier1,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5955.94,117574,52825,686,13,11265.45,0
2024-01-15,LI-ABM-Enterprise-Tier1,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,1186.49,23873,9922,130,2,1648.12,0
2024-01-15,LI-ABM-Enterprise-Tier1,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,967.77,14540,5837,83,0,0,0
2024-01-15,LI-Content-Whitepaper,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2297.75,50968,20925,390,7,3099.3,0
2024-01-15,LI-Content-Whitepaper,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2648.91,59236,25597,463,7,3065.52,0
2024-01-15,LI-Content-Whitepaper,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,534.16,11626,5115,80,0,0,0
2024-01-15,LI-Content-Whitepaper,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,404.79,6640,2677,47,0,0,0
2024-01-15,DV360-Display-Retarget,Desktop,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3359.83,644587,285550,3038,62,9135.44,0
2024-01-15,DV360-Display-Retarget,Mobile,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3598.19,676988,311147,3379,56,8438.84,0
2024-01-15,DV360-Display-Retarget,Tablet,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,725.42,137869,59308,655,11,1632.61,0
2024-01-15,DV360-Display-Retarget,Connected TV,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,584.97,83100,33539,411,7,1050.38,0
2024-01-15,DV360-CTV-Reach,Desktop,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3783.35,179125,76608,573,2,1648.58,56971
2024-01-15,DV360-CTV-Reach,Mobile,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,4312.69,206784,90687,674,1,843.22,65015
2024-01-15,DV360-CTV-Reach,Tablet,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,869.44,40516,18652,117,0,0,12436
2024-01-15,DV360-CTV-Reach,Connected TV,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,666.57,24259,10163,72,0,0,7762
2024-01-22,BR-Search-Brand-Core,Desktop,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1432.32,13456,5421,1254,107,14850.64,0
2024-01-22,BR-Search-Brand-Core,Mobile,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,1533.59,14144,5905,1398,100,14785.57,0
2024-01-22,BR-Search-Brand-Core,Tablet,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,305.25,2847,1114,267,19,2781.04,0
2024-01-22,BR-Search-Brand-Core,Connected TV,Google Ads,Conversions,Bottom,2024,2024-Q1,2024-01,246.48,1718,710,157,11,1598.79,0
2024-01-22,NB-Search-Generic-Solutions,Desktop,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,6527.54,62708,27305,2233,70,17292.04,0
2024-01-22,NB-Search-Generic-Solutions,Mobile,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,7450.34,70066,31197,2539,68,16561.91,0
2024-01-22,NB-Search-Generic-Solutions,Tablet,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1501.76,13733,6521,441,11,2730.52,0
2024-01-22,NB-Search-Generic-Solutions,Connected TV,Google Ads,Conversions,Middle,2024,2024-Q1,2024-01,1151.17,7651,3396,255,7,1754.08,0
2024-01-22,PMax-Retail-Feed,Desktop,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,5810.05,332652,135834,7136,338,28186.12,0
2024-01-22,PMax-Retail-Feed,Mobile,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,6226.77,360734,135514,8886,345,28425.79,0
2024-01-22,PMax-Retail-Feed,Tablet,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,1320.11,74602,29592,1624,64,5211.63,0
2024-01-22,PMax-Retail-Feed,Connected TV,Google Ads,Sales,Bottom,2024,2024-Q1,2024-01,1011.86,41157,16638,891,36,3007.97,0
2024-01-22,YT-Awareness-InStream,Desktop,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3564.3,358934,152983,2233,16,2974.89,114484
2024-01-22,YT-Awareness-InStream,Mobile,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,3862.42,378805,167374,2524,14,2661.6,124901
2024-01-22,YT-Awareness-InStream,Tablet,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,819.51,81675,32752,510,1,173,26610
2024-01-22,YT-Awareness-InStream,Connected TV,Google Ads,Awareness,Top,2024,2024-Q1,2024-01,620.83,46373,20295,287,0,0,14618
2024-01-22,FB-Prospecting-LAL-3pct,Desktop,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,4413.15,510404,226238,5136,74,6973.4,0
2024-01-22,FB-Prospecting-LAL-3pct,Mobile,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,5105.02,597124,245889,6169,75,7006.66,0
2024-01-22,FB-Prospecting-LAL-3pct,Tablet,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,1015.83,115666,49644,1057,12,1141.09,0
2024-01-22,FB-Prospecting-LAL-3pct,Connected TV,Meta Ads,Traffic,Top,2024,2024-Q1,2024-01,778.49,64153,28600,604,9,856.53,0
2024-01-22,IG-Retargeting-Cart-7d,Desktop,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3227.88,229828,95594,4305,235,20652.72,0
2024-01-22,IG-Retargeting-Cart-7d,Mobile,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,3450.46,249903,95375,5326,232,19934.59,0
2024-01-22,IG-Retargeting-Cart-7d,Tablet,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,741.15,54030,22212,1030,47,4020.98,0
2024-01-22,IG-Retargeting-Cart-7d,Connected TV,Meta Ads,Conversions,Bottom,2024,2024-Q1,2024-01,561,29666,14192,556,26,2278.9,0
2024-01-22,FB-Catalog-DPA-Evergreen,Desktop,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4334.18,439844,172437,6127,276,22687.07,0
2024-01-22,FB-Catalog-DPA-Evergreen,Mobile,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,4643.8,461629,186781,6826,263,22249.48,0
2024-01-22,FB-Catalog-DPA-Evergreen,Tablet,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,925.22,92957,33810,1309,46,3791.95,0
2024-01-22,FB-Catalog-DPA-Evergreen,Connected TV,Meta Ads,Sales,Bottom,2024,2024-Q1,2024-01,746.44,56474,25191,780,29,2386.01,0
2024-01-22,LI-ABM-Enterprise-Tier1,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,5082.57,105166,42391,590,14,11659.26,0
2024-01-22,LI-ABM-Enterprise-Tier1,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,6259.29,131315,55547,749,15,12381.4,0
2024-01-22,LI-ABM-Enterprise-Tier1,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,1261.86,25872,10053,139,1,819.04,0
2024-01-22,LI-ABM-Enterprise-Tier1,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,967.71,14313,5771,74,0,0,0
2024-01-22,LI-Content-Whitepaper,Desktop,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2295.83,50119,21282,354,6,2597.21,0
2024-01-22,LI-Content-Whitepaper,Mobile,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,2457.79,54253,21301,438,7,3012.7,0
2024-01-22,LI-Content-Whitepaper,Tablet,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,521.82,11627,4847,83,0,0,0
2024-01-22,LI-Content-Whitepaper,Connected TV,LinkedIn Ads,Leads,Middle,2024,2024-Q1,2024-01,425.75,6818,2940,49,0,0,0
2024-01-22,DV360-Display-Retarget,Desktop,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3323.88,646303,236167,3294,66,9605.79,0
2024-01-22,DV360-Display-Retarget,Mobile,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,3829.3,758499,293879,3966,68,9772.36,0
2024-01-22,DV360-Display-Retarget,Tablet,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,771.88,148745,58675,689,13,1909.58,0
2024-01-22,DV360-Display-Retarget,Connected TV,Programmatic,Conversions,Middle,2024,2024-Q1,2024-01,584.59,81939,33482,392,7,1067.32,0
2024-01-22,DV360-CTV-Reach,Desktop,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3779.03,181712,78405,536,1,759.76,60591
2024-01-22,DV360-CTV-Reach,Mobile,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,3991.69,195889,78853,660,1,762.07,63294
2024-01-22,DV360-CTV-Reach,Tablet,Programmatic,Awareness,Top,2024,2024-Q1,2024-01,859.03,42397,18036,127,0,0,13535
