Month,Channel,Plan,Channel Type,Year,Quarter,Month Label,New Customers,Acquisition Cost,New MRR,LTV Pool,First Order Revenue,Lifetime Pool
2024-02-01,Paid Search,Starter,Paid,2024,2024-Q1,2024-02,763,86374.38,22110.81,274514.23,28310.11,11138.8
2024-02-01,Paid Search,Growth,Paid,2024,2024-Q1,2024-02,429,190630.11,42755.25,793306.37,56834.61,9419.7
2024-02-01,Paid Search,Enterprise,Paid,2024,2024-Q1,2024-02,134,453073.56,66192.73,2136453.42,86366.15,5046.7
2024-02-01,Paid Social,Starter,Paid,2024,2024-Q1,2024-02,656,55169.55,19040.48,234461.94,25154.86,9471.7
2024-02-01,Paid Social,Growth,Paid,2024,2024-Q1,2024-02,349,118676.65,34288.16,639376.74,44832.42,7630
2024-02-01,Paid Social,Enterprise,Paid,2024,2024-Q1,2024-02,107,275214.16,53475.01,1724733.95,68728.34,4073.2
2024-02-01,Content / SEO,Starter,Organic,2024,2024-Q1,2024-02,864,43736.13,24902.6,307679.89,32154.31,12532.9
2024-02-01,Content / SEO,Growth,Organic,2024,2024-Q1,2024-02,473,94032.29,47401.11,878232.31,63545.74,10357.4
2024-02-01,Content / SEO,Enterprise,Organic,2024,2024-Q1,2024-02,157,233578.99,77724.24,2482565.33,102151.59,5870.4
2024-02-01,Email,Starter,Owned,2024,2024-Q1,2024-02,373,15648.66,10925.49,132384.93,14585.14,5348.5
2024-02-01,Email,Growth,Owned,2024,2024-Q1,2024-02,215,36377.83,21010.54,388593.7,27414.27,4611
2024-02-01,Email,Enterprise,Owned,2024,2024-Q1,2024-02,63,82295.65,30982.41,1008500.83,38956.24,2399.4
2024-02-01,Referral,Starter,Earned,2024,2024-Q1,2024-02,313,12558.74,9003.48,110534.12,11703.54,4459.6
2024-02-01,Referral,Growth,Earned,2024,2024-Q1,2024-02,170,28091.88,16696.63,312590.82,21042.75,3739.9
2024-02-01,Referral,Enterprise,Earned,2024,2024-Q1,2024-02,51,63370.75,25482.9,819478.49,33342.35,1961.3
2024-02-01,Outbound,Starter,Sales-led,2024,2024-Q1,2024-02,201,77986.46,5755.67,71443.94,7363.67,2924.1
2024-02-01,Outbound,Growth,Sales-led,2024,2024-Q1,2024-02,111,168702.27,11100.65,206978.85,14769.09,2437.8
2024-02-01,Outbound,Enterprise,Sales-led,2024,2024-Q1,2024-02,36,412456.36,17808.23,576831.18,23082.17,1357.1
2024-02-01,Marketplace,Starter,Partner,2024,2024-Q1,2024-02,448,29371.13,12950.35,160095.38,16935.5,6477.8
2024-02-01,Marketplace,Growth,Partner,2024,2024-Q1,2024-02,245,64223.39,23921.78,447057.49,31214.89,5333.9
2024-02-01,Marketplace,Enterprise,Partner,2024,2024-Q1,2024-02,72,142270.77,36258.24,1160000.95,48317.42,2727.7
2024-03-01,Paid Search,Starter,Paid,2024,2024-Q1,2024-03,912,100722.36,26285.6,317466.44,34430.84,12895.5
2024-03-01,Paid Search,Growth,Paid,2024,2024-Q1,2024-03,502,228123.15,48881.63,906710.79,62478.62,10884.4
2024-03-01,Paid Search,Enterprise,Paid,2024,2024-Q1,2024-03,154,521782.31,76110.32,2460101.5,97756.95,5880.1
2024-03-01,Paid Social,Starter,Paid,2024,2024-Q1,2024-03,736,63009.29,21253.07,262878.75,27619.07,10684
2024-03-01,Paid Social,Growth,Paid,2024,2024-Q1,2024-03,405,138179.7,39796.29,750022.88,51355.95,8952.7
2024-03-01,Paid Social,Enterprise,Paid,2024,2024-Q1,2024-03,127,320961.13,63249.69,2035650.33,83377.59,4772.6
2024-03-01,Content / SEO,Starter,Organic,2024,2024-Q1,2024-03,1024,50679.01,29805.18,366755.77,38728.35,14713.1
2024-03-01,Content / SEO,Growth,Organic,2024,2024-Q1,2024-03,567,115270.43,55536.31,1047551.79,71666.96,12454.1
2024-03-01,Content / SEO,Enterprise,Organic,2024,2024-Q1,2024-03,170,261157.5,84872.76,2733248.5,110848.98,6453.7
2024-03-01,Email,Starter,Owned,2024,2024-Q1,2024-03,424,18646.09,12055.45,148457.03,15330.37,6131.6
2024-03-01,Email,Growth,Owned,2024,2024-Q1,2024-03,225,39139.55,22367.28,419406.99,29238.57,5006.9
2024-03-01,Email,Enterprise,Owned,2024,2024-Q1,2024-03,72,90415.97,36443.24,1161996.13,48977.56,2684.5
2024-03-01,Referral,Starter,Earned,2024,2024-Q1,2024-03,337,13819.11,9799.62,120636.91,12894.09,4947.3
2024-03-01,Referral,Growth,Earned,2024,2024-Q1,2024-03,193,30660.8,19340.45,356433.18,25776.76,4184.1
2024-03-01,Referral,Enterprise,Earned,2024,2024-Q1,2024-03,63,77111.48,31035.95,1002499.49,39971.57,2350.2
2024-03-01,Outbound,Starter,Sales-led,2024,2024-Q1,2024-03,235,88134.98,6863.15,82912.18,9222.06,3331.8
2024-03-01,Outbound,Growth,Sales-led,2024,2024-Q1,2024-03,128,195198.05,12528.6,233668.41,16209.07,2792.9
2024-03-01,Outbound,Enterprise,Sales-led,2024,2024-Q1,2024-03,40,465451.68,19501.4,641064.88,24462.22,1539.7
2024-03-01,Marketplace,Starter,Partner,2024,2024-Q1,2024-03,511,33430.84,14713.15,179465.35,19085.82,7344.5
2024-03-01,Marketplace,Growth,Partner,2024,2024-Q1,2024-03,279,73264.23,27808.58,521300.56,36023.26,6137
2024-03-01,Marketplace,Enterprise,Partner,2024,2024-Q1,2024-03,88,174151.4,43696.08,1420144.33,56955.61,3340.2
2024-04-01,Paid Search,Starter,Paid,2024,2024-Q2,2024-04,929,105142.74,26714.87,334623.3,34128.14,13677.4
2024-04-01,Paid Search,Growth,Paid,2024,2024-Q2,2024-04,527,234466.54,52717.1,985509.84,70065.1,11550
2024-04-01,Paid Search,Enterprise,Paid,2024,2024-Q2,2024-04,170,569495.5,84634.95,2696390.12,110470.95,6330.3
2024-04-01,Paid Social,Starter,Paid,2024,2024-Q2,2024-04,783,65184.4,22817.65,277998.63,30579.43,11217.9
2024-04-01,Paid Social,Growth,Paid,2024,2024-Q2,2024-04,433,146500.38,42593.1,791143.56,55810.47,9422.5
2024-04-01,Paid Social,Enterprise,Paid,2024,2024-Q2,2024-04,136,347092.27,67509.95,2182407.02,86969.95,5175.2
2024-04-01,Content / SEO,Starter,Organic,2024,2024-Q2,2024-04,1077,54569.45,31214.22,386076.46,40779.55,15647.7
2024-04-01,Content / SEO,Growth,Organic,2024,2024-Q2,2024-04,596,118412.59,59325.24,1103203.91,76934.37,13043.6
2024-04-01,Content / SEO,Enterprise,Organic,2024,2024-Q2,2024-04,189,279770.95,94162.18,3016821.4,124783.8,7088.6
2024-04-01,Email,Starter,Owned,2024,2024-Q2,2024-04,469,19719.81,13723.67,167636.6,18121.12,6709.4
2024-04-01,Email,Growth,Owned,2024,2024-Q2,2024-04,267,45555.08,26351.49,492085.7,34578.99,5796.1
2024-04-01,Email,Enterprise,Owned,2024,2024-Q2,2024-04,79,103254.83,38881.41,1258108.15,49964.47,3014.6
2024-04-01,Referral,Starter,Earned,2024,2024-Q2,2024-04,387,15639.94,11088.59,137038.09,14401.43,5552.2
2024-04-01,Referral,Growth,Earned,2024,2024-Q2,2024-04,204,33898.33,19819.93,375725.63,24940.58,4519.8
2024-04-01,Referral,Enterprise,Earned,2024,2024-Q2,2024-04,64,78322.94,32323.69,1054728.8,42286.41,2461.4
2024-04-01,Outbound,Starter,Sales-led,2024,2024-Q2,2024-04,247,95709.37,7057.1,88695.99,8992,3637.3
2024-04-01,Outbound,Growth,Sales-led,2024,2024-Q2,2024-04,135,205226.81,13447.39,250171.57,17772.27,2969.4
2024-04-01,Outbound,Enterprise,Sales-led,2024,2024-Q2,2024-04,44,491909.56,22041.55,695602.45,29563.18,1626.7
2024-04-01,Marketplace,Starter,Partner,2024,2024-Q2,2024-04,545,35793.37,15791.67,192764.92,20769.59,7776.7
2024-04-01,Marketplace,Growth,Partner,2024,2024-Q2,2024-04,300,78768.75,29423.04,550149.32,38356.96,6541.4
2024-04-01,Marketplace,Enterprise,Partner,2024,2024-Q2,2024-04,94,184017,46712.53,1508174.78,59426.82,3562.9
2024-05-01,Paid Search,Starter,Paid,2024,2024-Q2,2024-05,1069,119939.47,31043.02,381996.04,41151.47,15357.7
2024-05-01,Paid Search,Growth,Paid,2024,2024-Q2,2024-05,582,262043.68,56884.87,1063664.23,72648.27,12721.1
2024-05-01,Paid Search,Enterprise,Paid,2024,2024-Q2,2024-05,176,594439.23,87570.76,2839992.2,114119.94,6706.9
2024-05-01,Paid Social,Starter,Paid,2024,2024-Q2,2024-05,857,72972.22,24738.26,307051.88,31486.4,12485
2024-05-01,Paid Social,Growth,Paid,2024,2024-Q2,2024-05,481,162247.67,47492.92,884839.36,62797.83,10521.7
2024-05-01,Paid Social,Enterprise,Paid,2024,2024-Q2,2024-05,153,390235.24,75722.79,2466733.92,99801.99,5820.2
2024-05-01,Content / SEO,Starter,Organic,2024,2024-Q2,2024-05,1208,59536.22,35119.37,428781.26,46866.98,17300.7
2024-05-01,Content / SEO,Growth,Organic,2024,2024-Q2,2024-05,655,131247.79,63889.92,1197339.72,82419.97,14297.5
2024-05-01,Content / SEO,Enterprise,Organic,2024,2024-Q2,2024-05,201,308527.05,99635.9,3245324.84,128506.45,7707.7
2024-05-01,Email,Starter,Owned,2024,2024-Q2,2024-05,497,21676.87,14023.47,174860.23,17861.13,7235.1
2024-05-01,Email,Growth,Owned,2024,2024-Q2,2024-05,261,45675.37,25787.88,482098.23,33074.21,5787.6
2024-05-01,Email,Enterprise,Owned,2024,2024-Q2,2024-05,84,107311.49,42361.31,1345268.93,56522.89,3145.6
2024-05-01,Referral,Starter,Earned,2024,2024-Q2,2024-05,396,16126.04,11482.19,141922.15,14978.56,5795.5
2024-05-01,Referral,Growth,Earned,2024,2024-Q2,2024-05,226,36306.63,22488.95,418669.3,30214.35,4947
2024-05-01,Referral,Enterprise,Earned,2024,2024-Q2,2024-05,73,87649.86,35976.94,1154179.17,46526.66,2720.8
2024-05-01,Outbound,Starter,Sales-led,2024,2024-Q2,2024-05,273,103259.69,7972.24,97124.68,10698.11,3900
2024-05-01,Outbound,Growth,Sales-led,2024,2024-Q2,2024-05,154,236765.03,15187.19,285035.61,19633.58,3380.2
2024-05-01,Outbound,Enterprise,Sales-led,2024,2024-Q2,2024-05,47,537962.66,23573.01,761120.89,31224.42,1780.2
2024-05-01,Marketplace,Starter,Partner,2024,2024-Q2,2024-05,574,37976.72,16643.58,204288.13,21490.43,8310.8
2024-05-01,Marketplace,Growth,Partner,2024,2024-Q2,2024-05,326,85224.96,32377.49,603620.78,42678.55,7175.2
2024-05-01,Marketplace,Enterprise,Partner,2024,2024-Q2,2024-05,103,202710.17,51171.93,1647588.18,67308.79,3883.7
2024-06-01,Paid Search,Starter,Paid,2024,2024-Q2,2024-06,969,109168.08,27841.11,345064.68,35599.97,14139.9
2024-06-01,Paid Search,Growth,Paid,2024,2024-Q2,2024-06,539,240287.9,53803.3,996347.87,71322.09,11828.7
2024-06-01,Paid Search,Enterprise,Paid,2024,2024-Q2,2024-06,173,577614.86,85691.15,2739888.52,112098.87,6482.7
2024-06-01,Paid Social,Starter,Paid,2024,2024-Q2,2024-06,837,71072.9,24307.16,298850.75,32161.15,12031.1
2024-06-01,Paid Social,Growth,Paid,2024,2024-Q2,2024-06,448,152219.61,44342.03,818708.36,58104.89,9747.9
2024-06-01,Paid Social,Enterprise,Paid,2024,2024-Q2,2024-06,140,357063.6,69926.34,2239447.06,91112.5,5293.2
2024-06-01,Content / SEO,Starter,Organic,2024,2024-Q2,2024-06,1108,56713.38,31895.64,393372.56,41115.98,16045.1
2024-06-01,Content / SEO,Growth,Organic,2024,2024-Q2,2024-06,612,121891.07,61194.07,1133004.71,81704.78,13430.3
2024-06-01,Content / SEO,Enterprise,Organic,2024,2024-Q2,2024-06,202,299862.73,101745.36,3293488.96,134307.65,7600.8
2024-06-01,Email,Starter,Owned,2024,2024-Q2,2024-06,475,20098.98,13953.74,169712.8,18708.8,6827.9
2024-06-01,Email,Growth,Owned,2024,2024-Q2,2024-06,274,46058.48,27063.6,499855.57,35793.92,5867.9
2024-06-01,Email,Enterprise,Owned,2024,2024-Q2,2024-06,82,107240.04,40064.48,1310661.8,50008.24,3129.3
2024-06-01,Referral,Starter,Earned,2024,2024-Q2,2024-06,400,15936.92,11466.66,139008.35,15069.83,5633.6
2024-06-01,Referral,Growth,Earned,2024,2024-Q2,2024-06,215,35577.83,20910.34,389919.1,26217.95,4700.7
2024-06-01,Referral,Enterprise,Earned,2024,2024-Q2,2024-06,64,78043.44,31969.06,1024203.02,41905.93,2441.1
2024-06-01,Outbound,Starter,Sales-led,2024,2024-Q2,2024-06,255,99151.11,7263.99,90640.99,9193.93,3724.6
2024-06-01,Outbound,Growth,Sales-led,2024,2024-Q2,2024-06,141,214330.01,13950.06,261287.34,18212.23,3101.6
2024-06-01,Outbound,Enterprise,Sales-led,2024,2024-Q2,2024-06,44,493029.4,22134.91,692614.38,29468.47,1622.6
2024-06-01,Marketplace,Starter,Partner,2024,2024-Q2,2024-06,565,36956.9,16323.15,201871.92,21176.85,8168.2
2024-06-01,Marketplace,Growth,Partner,2024,2024-Q2,2024-06,311,82447.87,30528.55,566633.86,39815.66,6768.5
2024-06-01,Marketplace,Enterprise,Partner,2024,2024-Q2,2024-06,97,191079.25,48479.51,1560211.49,63781.84,3683.9
2024-07-01,Paid Search,Starter,Paid,2024,2024-Q3,2024-07,1037,115446.39,30227.95,365357.65,39978.33,14685.2
2024-07-01,Paid Search,Growth,Paid,2024,2024-Q3,2024-07,572,259032.57,55745.02,1044214.65,71922.59,12507.5
2024-07-01,Paid Search,Enterprise,Paid,2024,2024-Q3,2024-07,174,589625.8,86419.62,2796389.37,112208.84,6656.6
2024-07-01,Paid Social,Starter,Paid,2024,2024-Q3,2024-07,833,71036.59,23966.34,296147.05,30783.94,12087.6
2024-07-01,Paid Social,Growth,Paid,2024,2024-Q3,2024-07,470,158864.49,46400.1,877137.61,59946.05,10418.5
2024-07-01,Paid Social,Enterprise,Paid,2024,2024-Q3,2024-07,150,375372.01,74285.79,2396643.97,97037,5633.7
2024-07-01,Content / SEO,Starter,Organic,2024,2024-Q3,2024-07,1162,57475.2,33892.39,414354.01,44590.76,16666.7
2024-07-01,Content / SEO,Growth,Organic,2024,2024-Q3,2024-07,650,131731.36,63456.84,1183774.7,81449.19,14161.7
2024-07-01,Content / SEO,Enterprise,Organic,2024,2024-Q3,2024-07,195,298052.51,96294.79,3108028.9,122806.45,7423.6
2024-07-01,Email,Starter,Owned,2024,2024-Q3,2024-07,487,21086.37,13900.18,171873.79,17894.67,7051.8
2024-07-01,Email,Growth,Owned,2024,2024-Q3,2024-07,264,46224.72,25962.95,492050.07,33565.65,5898.9
2024-07-01,Email,Enterprise,Owned,2024,2024-Q3,2024-07,86,111042.2,43517.83,1397786.38,57425.53,3249.8
2024-07-01,Referral,Starter,Earned,2024,2024-Q3,2024-07,396,16304.6,11559.26,145089.19,14966.65,5841.1
2024-07-01,Referral,Growth,Earned,2024,2024-Q3,2024-07,220,35018.84,22121.96,407932.62,29481.77,4778.2
2024-07-01,Referral,Enterprise,Earned,2024,2024-Q3,2024-07,73,88077.63,36212.95,1165253.54,47488.55,2720.2
2024-07-01,Outbound,Starter,Sales-led,2024,2024-Q3,2024-07,266,99920.8,7788.94,95153.78,10505.44,3811.6
2024-07-01,Outbound,Growth,Sales-led,2024,2024-Q3,2024-07,149,229148.06,14599.5,273055.72,18978.02,3251.5
2024-07-01,Outbound,Enterprise,Sales-led,2024,2024-Q3,2024-07,44,506337.28,21800.66,706717.16,28100.96,1668.6
2024-07-01,Marketplace,Starter,Partner,2024,2024-Q3,2024-07,582,38377,16647.39,203881.92,21544.08,8402.7
2024-07-01,Marketplace,Growth,Partner,2024,2024-Q3,2024-07,314,82203.04,31289.31,585289.52,40764.4,6908.5
2024-07-01,Marketplace,Enterprise,Partner,2024,2024-Q3,2024-07,103,202608.64,51035.1,1640682.03,66819.24,3881.8
2024-08-01,Paid Search,Starter,Paid,2024,2024-Q3,2024-08,965,108557.94,27890.18,346481.89,36364.95,14019.8
2024-08-01,Paid Search,Growth,Paid,2024,2024-Q3,2024-08,532,238092.82,52974.01,995159.76,69998.76,11700.6
2024-08-01,Paid Search,Enterprise,Paid,2024,2024-Q3,2024-08,167,561881.8,83526.01,2677496.72,110461.47,6300.7
2024-08-01,Paid Social,Starter,Paid,2024,2024-Q3,2024-08,820,69581.28,23657.65,290306.04,30801.4,11752.2
2024-08-01,Paid Social,Growth,Paid,2024,2024-Q3,2024-08,438,149059.36,42814.7,803094.45,56251.12,9591.5
2024-08-01,Paid Social,Enterprise,Paid,2024,2024-Q3,2024-08,132,336955.82,66387.19,2142124.51,87298.61,5044.1
2024-08-01,Content / SEO,Starter,Organic,2024,2024-Q3,2024-08,1090,55724.35,31167.82,389436.58,39604.79,15941.4
2024-08-01,Content / SEO,Growth,Organic,2024,2024-Q3,2024-08,581,115234.93,57937.8,1074960.49,75368.08,12776.3
2024-08-01,Content / SEO,Enterprise,Organic,2024,2024-Q3,2024-08,192,280289.92,95993.37,3064912.43,128720.47,7174.5
2024-08-01,Email,Starter,Owned,2024,2024-Q3,2024-08,447,19024,13116.38,159501.52,17563.66,6440.8
2024-08-01,Email,Growth,Owned,2024,2024-Q3,2024-08,261,43930.19,25984.44,472751.72,34817.18,5568.6
2024-08-01,Email,Enterprise,Owned,2024,2024-Q3,2024-08,81,103870.95,39878.68,1282616.08,51364.63,3040.4
2024-08-01,Referral,Starter,Earned,2024,2024-Q3,2024-08,384,15406.71,11053.57,135112.09,14508.34,5476.4
2024-08-01,Referral,Growth,Earned,2024,2024-Q3,2024-08,212,34506.55,20770.67,389683.37,26660.92,4636.3
2024-08-01,Referral,Enterprise,Earned,2024,2024-Q3,2024-08,65,79741.69,32230.64,1046854.16,41709.6,2481.6
2024-08-01,Outbound,Starter,Sales-led,2024,2024-Q3,2024-08,255,98982.05,7368.21,90760.83,9397.56,3677.9
2024-08-01,Outbound,Growth,Sales-led,2024,2024-Q3,2024-08,140,214064.15,13760.11,256765.37,17797.05,3075
2024-08-01,Outbound,Enterprise,Sales-led,2024,2024-Q3,2024-08,43,489875.48,21403.2,696321.05,28288.34,1620.7
2024-08-01,Marketplace,Starter,Partner,2024,2024-Q3,2024-08,552,35760.69,15979.15,195309.17,20990.65,7887.5
2024-08-01,Marketplace,Growth,Partner,2024,2024-Q3,2024-08,306,81081.78,29910.24,566012.89,38647.96,6733.1
2024-08-01,Marketplace,Enterprise,Partner,2024,2024-Q3,2024-08,92,185822.15,45717.26,1479188.48,59177.86,3510.7
2024-09-01,Paid Search,Starter,Paid,2024,2024-Q3,2024-09,859,95638.41,24808.3,303039.76,32600.25,12283.1
2024-09-01,Paid Search,Growth,Paid,2024,2024-Q3,2024-09,473,210970.16,46584.13,863379.37,59871.5,10280.2
2024-09-01,Paid Search,Enterprise,Paid,2024,2024-Q3,2024-09,150,507801.85,74255.33,2404149.62,95868.88,5704.7
2024-09-01,Paid Social,Starter,Paid,2024,2024-Q3,2024-09,699,59421.5,20306.98,250113.23,26254.37,10151.3
2024-09-01,Paid Social,Growth,Paid,2024,2024-Q3,2024-09,402,135742.52,39941.8,749464.26,52715.31,8814.7
2024-09-01,Paid Social,Enterprise,Paid,2024,2024-Q3,2024-09,127,322569.88,62816.61,2039439.63,81330.02,4786.1
2024-09-01,Content / SEO,Starter,Organic,2024,2024-Q3,2024-09,1010,50081.15,29485.35,359434.26,39070.94,14471.9
2024-09-01,Content / SEO,Growth,Organic,2024,2024-Q3,2024-09,557,112258.98,54170.34,1015364.16,69530.29,12141.3
2024-09-01,Content / SEO,Enterprise,Organic,2024,2024-Q3,2024-09,166,260155.11,81937.6,2693294.83,104171.81,6397.8
2024-09-01,Email,Starter,Owned,2024,2024-Q3,2024-09,422,18205.81,12128.56,150601.54,15546.32,6087.5
2024-09-01,Email,Growth,Owned,2024,2024-Q3,2024-09,220,38960.88,21550.45,408951.79,27661.84,4924.5
2024-09-01,Email,Enterprise,Owned,2024,2024-Q3,2024-09,68,87026.6,34315.3,1100665.19,45827.1,2583.5
2024-09-01,Referral,Starter,Earned,2024,2024-Q3,2024-09,331,13578.62,9523.42,117762.02,12275.05,4853.4
2024-09-01,Referral,Growth,Earned,2024,2024-Q3,2024-09,186,30065.87,18497.56,342917.76,24785.42,4080.2
2024-09-01,Referral,Enterprise,Earned,2024,2024-Q3,2024-09,59,71171.71,29160.91,932772.5,37951.37,2206.4
2024-09-01,Outbound,Starter,Sales-led,2024,2024-Q3,2024-09,228,86376.98,6634.55,81044.21,8832.54,3269.9
2024-09-01,Outbound,Growth,Sales-led,2024,2024-Q3,2024-09,124,189492.91,12311.27,227299.73,15973.38,2689.6
2024-09-01,Outbound,Enterprise,Sales-led,2024,2024-Q3,2024-09,39,449738.73,19186.59,625139.09,24462.89,1490.4
2024-09-01,Marketplace,Starter,Partner,2024,2024-Q3,2024-09,490,32633.18,14263.09,174323.06,18765.67,7088
2024-09-01,Marketplace,Growth,Partner,2024,2024-Q3,2024-09,274,71671.1,27081.17,501514.42,35379.55,6004.3
2024-09-01,Marketplace,Enterprise,Partner,2024,2024-Q3,2024-09,86,168209.25,42919.13,1385630.46,55503.98,3238.5
2024-10-01,Paid Search,Starter,Paid,2024,2024-Q4,2024-10,863,97553.33,24898.17,310325.94,32357.87,12624.4
2024-10-01,Paid Search,Growth,Paid,2024,2024-Q4,2024-10,470,209131.32,46519.62,868599.97,61636.97,10302.2
2024-10-01,Paid Search,Enterprise,Paid,2024,2024-Q4,2024-10,146,489138.67,72856.66,2347445.4,94764.36,5491.1
2024-10-01,Paid Social,Starter,Paid,2024,2024-Q4,2024-10,726,60628.16,20908.78,255713.88,27405.27,10329.4
2024-10-01,Paid Social,Growth,Paid,2024,2024-Q4,2024-10,388,132579.04,37886.47,705987.8,49002.79,8474
2024-10-01,Paid Social,Enterprise,Paid,2024,2024-Q4,2024-10,120,306113.87,59694.41,1925111.26,77699.68,4585
2024-10-01,Content / SEO,Starter,Organic,2024,2024-Q4,2024-10,960,49000.17,27355.62,334978.3,34953.74,13801.2
2024-10-01,Content / SEO,Growth,Organic,2024,2024-Q4,2024-10,521,104450.87,51921.97,955255.73,68443.55,11421.9
2024-10-01,Content / SEO,Enterprise,Organic,2024,2024-Q4,2024-10,167,244503.71,84203.72,2671505.36,111290.87,6197.5
2024-10-01,Email,Starter,Owned,2024,2024-Q4,2024-10,398,17117.47,11538.05,141558.69,15090.55,5772.8
2024-10-01,Email,Growth,Owned,2024,2024-Q4,2024-10,231,38742.88,22924.75,423056.69,30485.27,4978.2
2024-10-01,Email,Enterprise,Owned,2024,2024-Q4,2024-10,73,94337.66,36154.75,1162008.85,47416.7,2737.6
2024-10-01,Referral,Starter,Earned,2024,2024-Q4,2024-10,345,13979.99,10035.82,123259.79,13308.26,4932.6
2024-10-01,Referral,Growth,Earned,2024,2024-Q4,2024-10,187,30674.18,18288.35,343990.7,23356.95,4108.8
2024-10-01,Referral,Enterprise,Earned,2024,2024-Q4,2024-10,57,70218.47,28402.43,924527.3,37036.3,2186
2024-10-01,Outbound,Starter,Sales-led,2024,2024-Q4,2024-10,218,84270.49,6266.03,77863.07,8009.53,3176.4
2024-10-01,Outbound,Growth,Sales-led,2024,2024-Q4,2024-10,123,185121.01,12206.71,227450.43,15994.76,2681.7
2024-10-01,Outbound,Enterprise,Sales-led,2024,2024-Q4,2024-10,39,451524.63,19277.33,624405.41,25223.42,1472.4
2024-10-01,Marketplace,Starter,Partner,2024,2024-Q4,2024-10,490,31741.36,14217.62,174769.78,18536.88,7052.5
2024-10-01,Marketplace,Growth,Partner,2024,2024-Q4,2024-10,265,69857.14,25918.49,481256.36,33564.95,5734.2
2024-10-01,Marketplace,Enterprise,Partner,2024,2024-Q4,2024-10,83,165337.72,41435.97,1345460.84,53843.12,3177.4
2024-11-01,Paid Search,Starter,Paid,2024,2024-Q4,2024-11,790,88492.22,22971.47,281194.99,30587.78,11359.7
2024-11-01,Paid Search,Growth,Paid,2024,2024-Q4,2024-11,432,196209.22,42620.71,800872.35,55374.84,9522.8
2024-11-01,Paid Search,Enterprise,Paid,2024,2024-Q4,2024-11,138,461378.26,68672.29,2220720.25,89234.33,5247
2024-11-01,Paid Social,Starter,Paid,2024,2024-Q4,2024-11,636,54890.96,18519.25,228732.81,24378.86,9287.4
2024-11-01,Paid Social,Growth,Paid,2024,2024-Q4,2024-11,358,120210.89,35885.89,667466.19,47059.96,7844.8
2024-11-01,Paid Social,Enterprise,Paid,2024,2024-Q4,2024-11,116,291328.63,57589.96,1839971.5,75838.76,4309.5
2024-11-01,Content / SEO,Starter,Organic,2024,2024-Q4,2024-11,901,44008.37,26430.48,322898.75,35214.91,12918.5
2024-11-01,Content / SEO,Growth,Organic,2024,2024-Q4,2024-11,522,104443.64,51047.39,951230.16,66683.57,11273.7
