Cohort Month,Cohort Label,Channel,Channel Type,Month Index,Cohort Size,Customers Retained,Retention,Cohort Revenue
2024-01-01,2024-01,Content / SEO,Organic,2,1062,843,0.79,26480.43
2024-01-01,2024-01,Content / SEO,Organic,3,1062,771,0.73,26206.64
2024-01-01,2024-01,Content / SEO,Organic,4,1062,676,0.64,23818.48
2024-01-01,2024-01,Content / SEO,Organic,5,1062,634,0.6,23973.29
2024-01-01,2024-01,Content / SEO,Organic,6,1062,603,0.57,18630.74
2024-01-01,2024-01,Content / SEO,Organic,7,1062,573,0.54,19181.21
2024-01-01,2024-01,Content / SEO,Organic,8,1062,551,0.52,19130.2
2024-01-01,2024-01,Content / SEO,Organic,9,1062,519,0.49,19357.34
2024-01-01,2024-01,Content / SEO,Organic,10,1062,504,0.47,15312.21
2024-01-01,2024-01,Content / SEO,Organic,11,1062,493,0.46,16249.12
2024-01-01,2024-01,Content / SEO,Organic,12,1062,483,0.45,16520.37
2024-01-01,2024-01,Content / SEO,Organic,13,1062,470,0.44,17287.53
2024-01-01,2024-01,Content / SEO,Organic,14,1062,464,0.44,17644.06
2024-01-01,2024-01,Content / SEO,Organic,15,1062,459,0.43,14891.93
2024-01-01,2024-01,Content / SEO,Organic,16,1062,455,0.43,15328.17
2024-01-01,2024-01,Content / SEO,Organic,17,1062,450,0.42,16319.97
2024-01-01,2024-01,Content / SEO,Organic,18,1062,447,0.42,16767.24
2024-01-01,2024-01,Content / SEO,Organic,19,1062,445,0.42,14208.37
2024-01-01,2024-01,Content / SEO,Organic,20,1062,443,0.42,14695.6
2024-01-01,2024-01,Content / SEO,Organic,21,1062,441,0.42,15766.29
2024-01-01,2024-01,Content / SEO,Organic,22,1062,440,0.41,16277.89
2024-01-01,2024-01,Content / SEO,Organic,23,1062,439,0.41,13790.54
2024-01-01,2024-01,Email,Owned,0,500,500,1.0,19402.6
2024-01-01,2024-01,Email,Owned,1,500,440,0.88,18342.21
2024-01-01,2024-01,Email,Owned,2,500,413,0.83,14024.32
2024-01-01,2024-01,Email,Owned,3,500,385,0.77,14182.95
2024-01-01,2024-01,Email,Owned,4,500,365,0.73,13953.65
2024-01-01,2024-01,Email,Owned,5,500,327,0.65,13443.24
2024-01-01,2024-01,Email,Owned,6,500,315,0.63,13387.87
2024-01-01,2024-01,Email,Owned,7,500,302,0.6,10951.37
2024-01-01,2024-01,Email,Owned,8,500,292,0.58,10994.72
2024-01-01,2024-01,Email,Owned,9,500,283,0.57,11471.35
2024-01-01,2024-01,Email,Owned,10,500,269,0.54,11277.87
2024-01-01,2024-01,Email,Owned,11,500,263,0.53,9385.63
2024-01-01,2024-01,Email,Owned,12,500,259,0.52,9602.98
2024-01-01,2024-01,Email,Owned,13,500,254,0.51,10149.53
2024-01-01,2024-01,Email,Owned,14,500,248,0.5,10254.59
2024-01-01,2024-01,Email,Owned,15,500,245,0.49,8602.14
2024-01-01,2024-01,Email,Owned,16,500,243,0.49,8869.77
2024-01-01,2024-01,Email,Owned,17,500,240,0.48,9451.87
2024-01-01,2024-01,Email,Owned,18,500,238,0.48,9704.0
2024-01-01,2024-01,Email,Owned,19,500,237,0.47,8184.74
2024-01-01,2024-01,Email,Owned,20,500,236,0.47,8478.33
2024-01-01,2024-01,Email,Owned,21,500,235,0.47,9119.59
2024-01-01,2024-01,Email,Owned,22,500,234,0.47,9406.12
2024-01-01,2024-01,Email,Owned,23,500,233,0.47,7912.39
2024-01-01,2024-01,Referral,Earned,0,447,447,1.0,18603.41
2024-01-01,2024-01,Referral,Earned,1,447,401,0.9,17305.18
2024-01-01,2024-01,Referral,Earned,2,447,384,0.86,17794.58
2024-01-01,2024-01,Referral,Earned,3,447,365,0.82,14397.43
2024-01-01,2024-01,Referral,Earned,4,447,351,0.79,14384.58
2024-01-01,2024-01,Referral,Earned,5,447,336,0.75,14840.01
2024-01-01,2024-01,Referral,Earned,6,447,311,0.7,14213.75
2024-01-01,2024-01,Referral,Earned,7,447,301,0.67,11681.32
2024-01-01,2024-01,Referral,Earned,8,447,294,0.66,11861.45
2024-01-01,2024-01,Referral,Earned,9,447,286,0.64,12449.59
2024-01-01,2024-01,Referral,Earned,10,447,274,0.61,12348.29
2024-01-01,2024-01,Referral,Earned,11,447,268,0.6,10230.02
2024-01-01,2024-01,Referral,Earned,12,447,265,0.59,10522.73
2024-01-01,2024-01,Referral,Earned,13,447,261,0.58,11195.17
2024-01-01,2024-01,Referral,Earned,14,447,254,0.57,11285.24
2024-01-01,2024-01,Referral,Earned,15,447,251,0.56,9421.3
2024-01-01,2024-01,Referral,Earned,16,447,249,0.56,9728.87
2024-01-01,2024-01,Referral,Earned,17,447,247,0.55,10437.41
2024-01-01,2024-01,Referral,Earned,18,447,244,0.55,10685.6
2024-01-01,2024-01,Referral,Earned,19,447,242,0.54,11368.78
2024-01-01,2024-01,Referral,Earned,20,447,241,0.54,9262.86
2024-01-01,2024-01,Referral,Earned,21,447,240,0.54,9988.82
2024-01-01,2024-01,Referral,Earned,22,447,238,0.53,10271.31
2024-01-01,2024-01,Referral,Earned,23,447,238,0.53,11029.34
2024-01-01,2024-01,Outbound,Sales-led,0,300,300,1.0,27666.36
2024-01-01,2024-01,Outbound,Sales-led,1,300,268,0.89,25656.62
2024-01-01,2024-01,Outbound,Sales-led,2,300,221,0.74,22766.01
2024-01-01,2024-01,Outbound,Sales-led,3,300,200,0.67,21305.21
2024-01-01,2024-01,Outbound,Sales-led,4,300,184,0.61,16700.94
2024-01-01,2024-01,Outbound,Sales-led,5,300,170,0.57,16027.34
2024-01-01,2024-01,Outbound,Sales-led,6,300,153,0.51,15538.44
2024-01-01,2024-01,Outbound,Sales-led,7,300,145,0.48,15235.27
2024-01-01,2024-01,Outbound,Sales-led,8,300,140,0.47,12503.51
2024-01-01,2024-01,Outbound,Sales-led,9,300,134,0.45,12943.16
2024-01-01,2024-01,Outbound,Sales-led,10,300,128,0.43,12813.21
2024-01-01,2024-01,Outbound,Sales-led,11,300,125,0.42,13422.89
2024-01-01,2024-01,Outbound,Sales-led,12,300,123,0.41,10806.24
2024-01-01,2024-01,Outbound,Sales-led,13,300,121,0.4,11511.4
2024-01-01,2024-01,Outbound,Sales-led,14,300,119,0.4,11739.11
2024-01-01,2024-01,Outbound,Sales-led,15,300,118,0.39,12499.5
2024-01-01,2024-01,Outbound,Sales-led,16,300,117,0.39,10108.84
2024-01-01,2024-01,Outbound,Sales-led,17,300,117,0.39,10960.6
2024-01-01,2024-01,Outbound,Sales-led,18,300,116,0.39,11274.36
2024-01-01,2024-01,Outbound,Sales-led,19,300,116,0.39,12118.84
2024-01-01,2024-01,Outbound,Sales-led,20,300,115,0.38,9768.7
2024-01-01,2024-01,Outbound,Sales-led,21,300,115,0.38,10605.89
2024-01-01,2024-01,Outbound,Sales-led,22,300,115,0.38,11009.82
2024-01-01,2024-01,Outbound,Sales-led,23,300,115,0.38,11847.02
2024-01-01,2024-01,Marketplace,Partner,0,533,533,1.0,12397.07
2024-01-01,2024-01,Marketplace,Partner,1,533,432,0.81,10443.06
2024-01-01,2024-01,Marketplace,Partner,2,533,327,0.61,8524.75
2024-01-01,2024-01,Marketplace,Partner,3,533,278,0.52,7501.62
2024-01-01,2024-01,Marketplace,Partner,4,533,244,0.46,5582.74
2024-01-01,2024-01,Marketplace,Partner,5,533,217,0.41,5163.47
2024-01-01,2024-01,Marketplace,Partner,6,533,190,0.36,4881.21
2024-01-01,2024-01,Marketplace,Partner,7,533,178,0.33,4735.74
2024-01-01,2024-01,Marketplace,Partner,8,533,169,0.32,3802.69
2024-01-01,2024-01,Marketplace,Partner,9,533,163,0.31,3816.78
2024-01-01,2024-01,Marketplace,Partner,10,533,158,0.3,3999.24
2024-01-01,2024-01,Marketplace,Partner,11,533,153,0.29,4012.63
2024-01-01,2024-01,Marketplace,Partner,12,533,150,0.28,3318.32
2024-01-01,2024-01,Marketplace,Partner,13,533,149,0.28,3432.49
2024-01-01,2024-01,Marketplace,Partner,14,533,147,0.28,3665.1
2024-01-01,2024-01,Marketplace,Partner,15,533,146,0.27,3773.72
2024-01-01,2024-01,Marketplace,Partner,16,533,146,0.27,4050.51
2024-01-01,2024-01,Marketplace,Partner,17,533,145,0.27,3427.66
2024-01-01,2024-01,Marketplace,Partner,18,533,145,0.27,3560.29
2024-01-01,2024-01,Marketplace,Partner,19,533,145,0.27,3835.18
2024-01-01,2024-01,Marketplace,Partner,20,533,144,0.27,3940.45
2024-01-01,2024-01,Marketplace,Partner,21,533,144,0.27,3349.45
2024-01-01,2024-01,Marketplace,Partner,22,533,144,0.27,3481.17
2024-01-01,2024-01,Marketplace,Partner,23,533,144,0.27,3754.16
2024-02-01,2024-02,Paid Search,Paid,0,1101,1101,1.0,31372.7
2024-02-01,2024-02,Paid Search,Paid,1,1101,925,0.84,28532.13
2024-02-01,2024-02,Paid Search,Paid,2,1101,731,0.66,23377.21
2024-02-01,2024-02,Paid Search,Paid,3,1101,641,0.58,22005.91
2024-02-01,2024-02,Paid Search,Paid,4,1101,577,0.52,16170.32
2024-02-01,2024-02,Paid Search,Paid,5,1101,523,0.48,15886.46
2024-02-01,2024-02,Paid Search,Paid,6,1101,485,0.44,15282.28
2024-02-01,2024-02,Paid Search,Paid,7,1101,438,0.4,14830.98
2024-02-01,2024-02,Paid Search,Paid,8,1101,419,0.38,11545.51
2024-02-01,2024-02,Paid Search,Paid,9,1101,403,0.37,12052.01
2024-02-01,2024-02,Paid Search,Paid,10,1101,392,0.36,12167.66
2024-02-01,2024-02,Paid Search,Paid,11,1101,378,0.34,12621.71
2024-02-01,2024-02,Paid Search,Paid,12,1101,372,0.34,12843.3
2024-02-01,2024-02,Paid Search,Paid,13,1101,368,0.33,10832.38
2024-02-01,2024-02,Paid Search,Paid,14,1101,364,0.33,11127.5
2024-02-01,2024-02,Paid Search,Paid,15,1101,360,0.33,11851.51
2024-02-01,2024-02,Paid Search,Paid,16,1101,358,0.33,12191.72
2024-02-01,2024-02,Paid Search,Paid,17,1101,357,0.32,10340.83
2024-02-01,2024-02,Paid Search,Paid,18,1101,356,0.32,10715.65
2024-02-01,2024-02,Paid Search,Paid,19,1101,355,0.32,11520.09
2024-02-01,2024-02,Paid Search,Paid,20,1101,354,0.32,11889.15
2024-02-01,2024-02,Paid Search,Paid,21,1101,354,0.32,10087.58
2024-02-01,2024-02,Paid Search,Paid,22,1101,353,0.32,10459.47
2024-02-01,2024-02,Paid Social,Paid,0,722,722,1.0,17328.39
2024-02-01,2024-02,Paid Social,Paid,1,722,553,0.77,14404.56
2024-02-01,2024-02,Paid Social,Paid,2,722,446,0.62,12058.01
2024-02-01,2024-02,Paid Social,Paid,3,722,336,0.47,9772.02
2024-02-01,2024-02,Paid Social,Paid,4,722,291,0.4,8750.74
2024-02-01,2024-02,Paid Social,Paid,5,722,256,0.35,6563.52
2024-02-01,2024-02,Paid Social,Paid,6,722,232,0.32,6177.38
2024-02-01,2024-02,Paid Social,Paid,7,722,215,0.3,6164.93
2024-02-01,2024-02,Paid Social,Paid,8,722,199,0.28,5902.73
2024-02-01,2024-02,Paid Social,Paid,9,722,191,0.26,4818.83
2024-02-01,2024-02,Paid Social,Paid,10,722,186,0.26,4876.43
2024-02-01,2024-02,Paid Social,Paid,11,722,182,0.25,5144.2
2024-02-01,2024-02,Paid Social,Paid,12,722,179,0.25,5236.23
2024-02-01,2024-02,Paid Social,Paid,13,722,177,0.25,4393.17
2024-02-01,2024-02,Paid Social,Paid,14,722,176,0.24,4542.22
2024-02-01,2024-02,Paid Social,Paid,15,722,175,0.24,4874.72
2024-02-01,2024-02,Paid Social,Paid,16,722,174,0.24,5018.76
2024-02-01,2024-02,Paid Social,Paid,17,722,174,0.24,4247.5
2024-02-01,2024-02,Paid Social,Paid,18,722,174,0.24,4419.39
2024-02-01,2024-02,Paid Social,Paid,19,722,174,0.24,4775.65
2024-02-01,2024-02,Paid Social,Paid,20,722,174,0.24,4947.54
2024-02-01,2024-02,Paid Social,Paid,21,722,173,0.24,4152.28
2024-02-01,2024-02,Paid Social,Paid,22,722,173,0.24,4323.19
2024-02-01,2024-02,Content / SEO,Organic,0,1065,1065,1.0,39781.49
2024-02-01,2024-02,Content / SEO,Organic,1,1065,937,0.88,28519.94
2024-02-01,2024-02,Content / SEO,Organic,2,1065,858,0.81,28327.58
2024-02-01,2024-02,Content / SEO,Organic,3,1065,783,0.74,26825.43
2024-02-01,2024-02,Content / SEO,Organic,4,1065,686,0.64,25270.96
2024-02-01,2024-02,Content / SEO,Organic,5,1065,642,0.6,19210.0
2024-02-01,2024-02,Content / SEO,Organic,6,1065,610,0.57,19825.27
2024-02-01,2024-02,Content / SEO,Organic,7,1065,579,0.54,20310.6
2024-02-01,2024-02,Content / SEO,Organic,8,1065,539,0.51,19577.96
2024-02-01,2024-02,Content / SEO,Organic,9,1065,521,0.49,16016.09
2024-02-01,2024-02,Content / SEO,Organic,10,1065,508,0.48,16248.41
2024-02-01,2024-02,Content / SEO,Organic,11,1065,495,0.46,17108.87
2024-02-01,2024-02,Content / SEO,Organic,12,1065,479,0.45,17151.72
2024-02-01,2024-02,Content / SEO,Organic,13,1065,471,0.44,14236.29
2024-02-01,2024-02,Content / SEO,Organic,14,1065,466,0.44,14664.86
2024-02-01,2024-02,Content / SEO,Organic,15,1065,461,0.43,15696.12
2024-02-01,2024-02,Content / SEO,Organic,16,1065,454,0.43,16022.56
2024-02-01,2024-02,Content / SEO,Organic,17,1065,451,0.42,17079.5
2024-02-01,2024-02,Content / SEO,Organic,18,1065,449,0.42,13898.47
2024-02-01,2024-02,Content / SEO,Organic,19,1065,447,0.42,14989.07
2024-02-01,2024-02,Content / SEO,Organic,20,1065,445,0.42,15475.58
2024-02-01,2024-02,Content / SEO,Organic,21,1065,442,0.42,16510.87
2024-02-01,2024-02,Content / SEO,Organic,22,1065,442,0.42,13453.99
2024-02-01,2024-02,Email,Owned,0,538,538,1.0,21841.49
2024-02-01,2024-02,Email,Owned,1,538,481,0.89,20196.18
2024-02-01,2024-02,Email,Owned,2,538,451,0.84,16123.05
2024-02-01,2024-02,Email,Owned,3,538,419,0.78,15561.62
2024-02-01,2024-02,Email,Owned,4,538,375,0.7,15008.08
2024-02-01,2024-02,Email,Owned,5,538,356,0.66,14742.63
2024-02-01,2024-02,Email,Owned,6,538,342,0.64,12029.35
2024-02-01,2024-02,Email,Owned,7,538,327,0.61,11956.39
2024-02-01,2024-02,Email,Owned,8,538,306,0.57,12070.33
2024-02-01,2024-02,Email,Owned,9,538,297,0.55,12128.25
2024-02-01,2024-02,Email,Owned,10,538,291,0.54,10067.88
2024-02-01,2024-02,Email,Owned,11,538,284,0.53,10220.55
2024-02-01,2024-02,Email,Owned,12,538,279,0.52,10844.59
2024-02-01,2024-02,Email,Owned,13,538,271,0.5,10910.42
2024-02-01,2024-02,Email,Owned,14,538,268,0.5,9117.76
2024-02-01,2024-02,Email,Owned,15,538,265,0.49,9779.33
2024-02-01,2024-02,Email,Owned,16,538,262,0.49,10032.89
2024-02-01,2024-02,Email,Owned,17,538,258,0.48,10623.18
2024-02-01,2024-02,Email,Owned,18,538,257,0.48,8595.49
2024-02-01,2024-02,Email,Owned,19,538,255,0.47,9263.42
2024-02-01,2024-02,Email,Owned,20,538,254,0.47,9580.24
2024-02-01,2024-02,Email,Owned,21,538,252,0.47,10230.98
2024-02-01,2024-02,Email,Owned,22,538,252,0.47,10581.34
2024-02-01,2024-02,Referral,Earned,0,478,478,1.0,20840.51
2024-02-01,2024-02,Referral,Earned,1,478,435,0.91,19634.2
2024-02-01,2024-02,Referral,Earned,2,478,411,0.86,15717.08
2024-02-01,2024-02,Referral,Earned,3,478,394,0.82,15672.44
2024-02-01,2024-02,Referral,Earned,4,478,376,0.79,16153.99
2024-02-01,2024-02,Referral,Earned,5,478,346,0.72,15396.81
2024-02-01,2024-02,Referral,Earned,6,478,336,0.7,12635.08
2024-02-01,2024-02,Referral,Earned,7,478,325,0.68,12720.86
2024-02-01,2024-02,Referral,Earned,8,478,317,0.66,13417.37
2024-02-01,2024-02,Referral,Earned,9,478,299,0.63,13114.97
2024-02-01,2024-02,Referral,Earned,10,478,294,0.62,10868.52
2024-02-01,2024-02,Referral,Earned,11,478,288,0.6,11089.28
2024-02-01,2024-02,Referral,Earned,12,478,284,0.59,11839.8
2024-02-01,2024-02,Referral,Earned,13,478,275,0.58,11887.19
2024-02-01,2024-02,Referral,Earned,14,478,272,0.57,12623.82
2024-02-01,2024-02,Referral,Earned,15,478,269,0.56,10186.44
2024-02-01,2024-02,Referral,Earned,16,478,267,0.56,10961.09
2024-02-01,2024-02,Referral,Earned,17,478,265,0.55,11286.21
2024-02-01,2024-02,Referral,Earned,18,478,261,0.55,11947.13
2024-02-01,2024-02,Referral,Earned,19,478,259,0.54,9642.87
2024-02-01,2024-02,Referral,Earned,20,478,258,0.54,10427.36
2024-02-01,2024-02,Referral,Earned,21,478,257,0.54,11205.48
2024-02-01,2024-02,Referral,Earned,22,478,255,0.53,11510.14
2024-02-01,2024-02,Outbound,Sales-led,0,319,319,1.0,30863.01
2024-02-01,2024-02,Outbound,Sales-led,1,319,265,0.83,26569.35
2024-02-01,2024-02,Outbound,Sales-led,2,319,236,0.74,19942.39
2024-02-01,2024-02,Outbound,Sales-led,3,319,215,0.67,18923.03
2024-02-01,2024-02,Outbound,Sales-led,4,319,196,0.61,18677.63
2024-02-01,2024-02,Outbound,Sales-led,5,319,173,0.54,17093.52
2024-02-01,2024-02,Outbound,Sales-led,6,319,163,0.51,17292.09
2024-02-01,2024-02,Outbound,Sales-led,7,319,155,0.49,13416.63
2024-02-01,2024-02,Outbound,Sales-led,8,319,149,0.47,13981.99
2024-02-01,2024-02,Outbound,Sales-led,9,319,144,0.45,14018.59
2024-02-01,2024-02,Outbound,Sales-led,10,319,136,0.43,14229.85
2024-02-01,2024-02,Outbound,Sales-led,11,319,134,0.42,11403.89
2024-02-01,2024-02,Outbound,Sales-led,12,319,131,0.41,12102.26
2024-02-01,2024-02,Outbound,Sales-led,13,319,129,0.4,12370.6
2024-02-01,2024-02,Outbound,Sales-led,14,319,127,0.4,13103.36
2024-02-01,2024-02,Outbound,Sales-led,15,319,126,0.39,13442.75
2024-02-01,2024-02,Outbound,Sales-led,16,319,125,0.39,11366.05
2024-02-01,2024-02,Outbound,Sales-led,17,319,124,0.39,11710.67
2024-02-01,2024-02,Outbound,Sales-led,18,319,123,0.39,12511.66
2024-02-01,2024-02,Outbound,Sales-led,19,319,123,0.39,12943.69
2024-02-01,2024-02,Outbound,Sales-led,20,319,123,0.39,11005.21
2024-02-01,2024-02,Outbound,Sales-led,21,319,122,0.38,11344.25
2024-02-01,2024-02,Outbound,Sales-led,22,319,122,0.38,12232.41
2024-02-01,2024-02,Marketplace,Partner,0,576,576,1.0,14076.41
2024-02-01,2024-02,Marketplace,Partner,1,576,476,0.83,12067.99
2024-02-01,2024-02,Marketplace,Partner,2,576,355,0.62,9673.3
2024-02-01,2024-02,Marketplace,Partner,3,576,305,0.53,6759.85
2024-02-01,2024-02,Marketplace,Partner,4,576,265,0.46,6375.7
2024-02-01,2024-02,Marketplace,Partner,5,576,237,0.41,5918.83
2024-02-01,2024-02,Marketplace,Partner,6,576,206,0.36,5535.17
2024-02-01,2024-02,Marketplace,Partner,7,576,193,0.34,5362.4
2024-02-01,2024-02,Marketplace,Partner,8,576,183,0.32,4333.49
2024-02-01,2024-02,Marketplace,Partner,9,576,176,0.31,4328.72
2024-02-01,2024-02,Marketplace,Partner,10,576,171,0.3,4529.93
2024-02-01,2024-02,Marketplace,Partner,11,576,165,0.29,4521.91
2024-02-01,2024-02,Marketplace,Partner,12,576,163,0.28,3798.12
2024-02-01,2024-02,Marketplace,Partner,13,576,161,0.28,3898.78
2024-02-01,2024-02,Marketplace,Partner,14,576,159,0.28,4151.79
2024-02-01,2024-02,Marketplace,Partner,15,576,158,0.27,4270.2
2024-02-01,2024-02,Marketplace,Partner,16,576,157,0.27,3598.81
2024-02-01,2024-02,Marketplace,Partner,17,576,157,0.27,3742.42
2024-02-01,2024-02,Marketplace,Partner,18,576,156,0.27,4014.33
2024-02-01,2024-02,Marketplace,Partner,19,576,156,0.27,4157.03
2024-02-01,2024-02,Marketplace,Partner,20,576,156,0.27,3516.77
2024-02-01,2024-02,Marketplace,Partner,21,576,156,0.27,3659.47
2024-02-01,2024-02,Marketplace,Partner,22,576,156,0.27,3955.21
2024-03-01,2024-03,Paid Search,Paid,0,1175,1175,1.0,35199.37
2024-03-01,2024-03,Paid Search,Paid,1,1175,1006,0.86,31277.69
2024-03-01,2024-03,Paid Search,Paid,2,1175,794,0.68,26552.91
2024-03-01,2024-03,Paid Search,Paid,3,1175,694,0.59,23995.87
2024-03-01,2024-03,Paid Search,Paid,4,1175,624,0.53,18399.89
2024-03-01,2024-03,Paid Search,Paid,5,1175,564,0.48,17270.37
2024-03-01,2024-03,Paid Search,Paid,6,1175,501,0.43,16519.0
2024-03-01,2024-03,Paid Search,Paid,7,1175,471,0.4,16064.06
2024-03-01,2024-03,Paid Search,Paid,8,1175,450,0.38,13057.69
2024-03-01,2024-03,Paid Search,Paid,9,1175,432,0.37,13025.37
2024-03-01,2024-03,Paid Search,Paid,10,1175,413,0.35,13423.38
2024-03-01,2024-03,Paid Search,Paid,11,1175,404,0.34,13589.09
2024-03-01,2024-03,Paid Search,Paid,12,1175,398,0.34,11361.78
2024-03-01,2024-03,Paid Search,Paid,13,1175,393,0.33,12142.91
2024-03-01,2024-03,Paid Search,Paid,14,1175,387,0.33,12396.47
2024-03-01,2024-03,Paid Search,Paid,15,1175,384,0.33,13203.09
2024-03-01,2024-03,Paid Search,Paid,16,1175,383,0.33,10753.59
2024-03-01,2024-03,Paid Search,Paid,17,1175,381,0.32,11593.1
2024-03-01,2024-03,Paid Search,Paid,18,1175,380,0.32,11993.68
2024-03-01,2024-03,Paid Search,Paid,19,1175,379,0.32,12853.08
2024-03-01,2024-03,Paid Search,Paid,20,1175,378,0.32,10435.58
2024-03-01,2024-03,Paid Search,Paid,21,1175,377,0.32,11294.23
2024-03-01,2024-03,Paid Social,Paid,0,782,782,1.0,19764.31
2024-03-01,2024-03,Paid Social,Paid,1,782,612,0.78,16072.3
2024-03-01,2024-03,Paid Social,Paid,2,782,484,0.62,13701.76
2024-03-01,2024-03,Paid Social,Paid,3,782,370,0.47,10840.0
2024-03-01,2024-03,Paid Social,Paid,4,782,315,0.4,7832.4
2024-03-01,2024-03,Paid Social,Paid,5,782,280,0.36,7238.74
2024-03-01,2024-03,Paid Social,Paid,6,782,244,0.31,6807.63
2024-03-01,2024-03,Paid Social,Paid,7,782,227,0.29,6557.58
2024-03-01,2024-03,Paid Social,Paid,8,782,216,0.28,5282.39
2024-03-01,2024-03,Paid Social,Paid,9,782,208,0.27,5292.22
2024-03-01,2024-03,Paid Social,Paid,10,782,202,0.26,5553.15
2024-03-01,2024-03,Paid Social,Paid,11,782,196,0.25,5581.83
2024-03-01,2024-03,Paid Social,Paid,12,782,194,0.25,4664.97
2024-03-01,2024-03,Paid Social,Paid,13,782,192,0.25,4806.55
2024-03-01,2024-03,Paid Social,Paid,14,782,191,0.24,5172.58
2024-03-01,2024-03,Paid Social,Paid,15,782,190,0.24,5333.2
2024-03-01,2024-03,Paid Social,Paid,16,782,189,0.24,5692.1
2024-03-01,2024-03,Paid Social,Paid,17,782,189,0.24,4654.09
2024-03-01,2024-03,Paid Social,Paid,18,782,188,0.24,5014.39
2024-03-01,2024-03,Paid Social,Paid,19,782,188,0.24,5200.11
2024-03-01,2024-03,Paid Social,Paid,20,782,188,0.24,5585.04
2024-03-01,2024-03,Paid Social,Paid,21,782,188,0.24,4751.73
2024-03-01,2024-03,Content / SEO,Organic,0,1149,1149,1.0,35385.98
2024-03-01,2024-03,Content / SEO,Organic,1,1149,1028,0.89,32938.35
