Week,Platform,Post Type,Platform Group,Format Group,Year,Quarter,Month,Posts,Impressions,Reach,Engagements,Likes,Comments,Shares,Saves,Link Clicks,Followers Gained,Followers Lost,Video Views,Mentions,Sentiment Pool
2024-01-08,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-01,6,27650,20060,363,247,37,28,27,191,34,12,0,104,39.65
2024-01-08,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-01,21,904647,600128,54282,36765,4913,4598,3847,4651,1190,369,515538,233,100.56
2024-01-08,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-01,24,435392,285730,18692,13282,1617,1689,1611,2109,573,215,0,343,174.18
2024-01-08,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-01,12,74160,52283,1010,672,97,96,71,459,120,39,0,153,84.79
2024-01-08,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-01,12,179835,116559,3252,2362,275,282,323,786,253,108,99031,213,110.75
2024-01-08,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-01,7,24253,16734,233,158,25,21,15,157,35,11,0,112,52.17
2024-01-08,Facebook,Image,Community,Static,2024,2024-Q1,2024-01,10,58775,37071,473,325,41,48,38,255,93,34,0,134,87.49
2024-01-08,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-01,7,59706,37702,667,483,55,62,64,255,77,32,0,121,60.3
2024-01-08,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-01,9,101522,72841,1238,866,125,92,102,656,149,56,62726,129,65.98
2024-01-08,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-01,2,12146,8110,100,68,10,11,7,70,20,6,7218,24,14.5
2024-01-08,Facebook,Text,Community,Static,2024,2024-Q1,2024-01,7,21073,13152,134,92,12,14,9,113,35,12,0,81,55.33
2024-01-08,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-01,11,48732,29161,407,287,31,41,36,167,74,29,0,163,98.58
2024-01-08,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-01,6,173518,112385,6173,4085,549,571,386,855,258,72,96704,48,29.27
2024-01-08,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-01,2,18525,10590,317,221,22,35,27,52,29,11,8993,28,20.08
2024-01-15,Instagram,Image,Visual,Static,2024,2024-Q1,2024-01,10,140666,92882,3764,2657,329,317,329,686,183,72,0,160,91.62
2024-01-15,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-01,8,128405,94862,5830,3930,619,477,407,947,174,62,0,121,48.1
2024-01-15,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-01,20,459226,288868,22412,14927,1849,2200,1440,2226,706,208,288653,189,118.94
2024-01-15,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-01,18,165040,111952,5111,3473,515,379,372,1029,178,56,0,256,90.93
2024-01-15,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-01,9,79760,52033,1451,998,123,145,113,373,124,43,0,114,68.22
2024-01-15,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-01,5,60334,37851,1598,1128,140,165,144,224,77,29,0,80,40.06
2024-01-15,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-01,9,156366,106999,4656,3304,433,376,412,859,194,64,93813,111,49.27
2024-01-15,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-01,1,9744,5248,138,94,9,13,11,20,13,4,4366,10,6.4
2024-01-15,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-01,7,31798,22103,493,334,41,51,36,155,49,15,0,74,37.91
2024-01-15,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-01,21,976772,590319,59692,41122,4698,5910,4607,3512,1451,491,545686,249,157.01
2024-01-15,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-01,27,431973,279866,18921,12700,1633,1714,1322,2576,604,188,0,279,150.47
2024-01-15,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-01,11,83923,55067,1036,724,87,101,89,300,101,40,0,174,75.66
2024-01-15,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-01,13,175553,125557,3583,2494,356,296,234,923,236,65,108117,136,56.04
2024-01-15,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-01,10,42084,26685,404,282,34,35,34,171,55,21,0,154,72.68
2024-01-15,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-01,6,232774,149140,7190,5226,594,621,717,1013,300,129,128735,108,50.35
2024-01-15,Facebook,Image,Community,Static,2024,2024-Q1,2024-01,9,55519,36904,421,297,37,30,36,264,59,24,0,173,68.44
2024-01-15,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-01,7,51414,35827,579,404,55,44,40,332,62,18,0,72,27.61
2024-01-15,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-01,13,137740,93155,1902,1274,159,180,123,616,220,64,73459,114,72.71
2024-01-15,Facebook,Text,Community,Static,2024,2024-Q1,2024-01,7,25560,16883,135,93,12,10,10,126,28,10,0,131,53.58
2024-01-15,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-01,12,45608,33216,414,281,37,32,32,258,57,17,0,133,47.13
2024-01-15,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-01,5,31599,19201,243,167,19,21,20,116,40,13,16227,62,41.5
2024-01-22,Instagram,Image,Visual,Static,2024,2024-Q1,2024-01,13,185440,129282,5560,3831,543,481,421,1123,270,89,0,150,76.21
2024-01-22,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-01,11,193266,127707,9150,6253,815,939,702,952,309,108,0,139,85.42
2024-01-22,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-01,19,567139,354403,27339,19463,2212,2718,2450,2606,850,334,317762,299,183.6
2024-01-22,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-01,25,238740,155045,8850,6000,821,924,651,1255,404,138,0,290,201.57
2024-01-22,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-01,8,74291,48249,1117,810,93,85,101,334,91,38,0,130,70.09
2024-01-22,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-01,6,58767,43429,1564,1036,164,123,113,433,75,27,0,90,35.59
2024-01-22,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-01,13,192451,119839,5505,3660,481,533,349,1029,284,84,117850,120,74.88
2024-01-22,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-01,6,28755,18692,348,244,29,29,34,127,34,15,0,116,49.7
2024-01-22,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-01,22,1112167,743097,70756,50468,6289,6589,6462,5739,1580,609,655588,325,118.74
2024-01-22,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-01,28,541705,330511,23431,16339,2070,2405,1967,2123,831,309,0,408,204.58
2024-01-22,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-01,9,57509,42555,688,471,73,54,53,410,74,24,0,113,42.64
2024-01-22,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-01,14,190564,114644,3736,2579,286,376,278,752,288,95,111723,164,106.36
2024-01-22,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-01,7,26343,18594,221,149,21,15,17,158,27,9,0,114,37.91
2024-01-22,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-01,7,237071,164612,8219,5707,792,652,683,1401,294,104,143749,73,27.7
2024-01-22,Facebook,Image,Community,Static,2024,2024-Q1,2024-01,9,46723,34123,414,278,34,40,32,244,76,25,0,116,59.33
2024-01-22,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-01,7,52020,31489,574,393,51,55,43,237,74,24,0,85,49.66
2024-01-22,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-01,9,111519,68855,1283,919,101,117,116,425,147,57,59096,144,73.03
2024-01-22,Facebook,Text,Community,Static,2024,2024-Q1,2024-01,7,20339,14596,129,87,13,10,8,135,28,11,0,104,44.76
2024-01-22,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-01,16,65429,40397,615,422,48,64,46,286,109,36,0,181,126.26
2024-01-22,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-01,1,10828,6182,171,119,12,18,15,30,17,6,5248,12,8.53
2024-01-29,Instagram,Image,Visual,Static,2024,2024-Q1,2024-01,13,200681,124396,5613,3930,399,545,462,628,322,118,0,172,113.07
2024-01-29,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-01,9,168330,110444,6220,4347,532,469,568,756,170,76,0,152,75.15
2024-01-29,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-01,16,414880,285566,19215,12724,1989,1535,1227,2752,507,164,276622,226,87.37
2024-01-29,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-01,18,178723,114549,5535,3809,449,487,467,768,226,93,0,329,155.42
2024-01-29,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-01,8,73229,49404,1246,859,115,105,97,395,101,35,0,95,44.91
2024-01-29,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-01,11,207453,128190,5765,4052,496,560,500,908,296,113,115825,167,98.28
2024-01-29,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-01,7,34093,24442,463,322,48,37,37,219,46,17,0,97,41.84
2024-01-29,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-01,24,992689,605140,60068,39545,5094,5743,3751,5024,1416,409,586537,270,150.21
2024-01-29,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-01,20,331174,235844,13668,9151,1376,999,918,2164,362,119,0,314,110.22
2024-01-29,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-01,11,79690,50327,947,643,81,90,69,365,113,36,0,114,75.2
2024-01-29,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-01,15,219453,145653,4378,3097,384,390,383,1105,295,113,128294,219,112.69
2024-01-29,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-01,9,34743,22778,351,238,30,35,26,171,55,19,0,118,71.61
2024-01-29,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-01,7,239926,145165,8822,6095,685,941,696,967,339,112,138395,83,48.37
2024-01-29,Facebook,Image,Community,Static,2024,2024-Q1,2024-01,10,64846,39814,467,327,38,42,41,243,84,33,0,145,73.56
2024-01-29,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-01,6,47257,31619,527,369,47,43,44,244,60,23,0,100,47.53
2024-01-29,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-01,11,115790,80567,1480,1000,140,119,107,665,147,45,75946,120,47.54
2024-01-29,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-01,3,20992,11627,148,103,10,16,12,51,31,12,9769,36,24.53
2024-01-29,Facebook,Text,Community,Static,2024,2024-Q1,2024-01,7,24427,16144,148,101,13,14,11,117,33,12,0,98,50.28
2024-01-29,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-01,15,69848,44750,634,450,54,60,56,314,103,40,0,222,131.67
2024-01-29,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-01,6,64119,42598,1815,1225,163,182,131,340,103,33,0,64,41.77
2024-02-05,Instagram,Image,Visual,Static,2024,2024-Q1,2024-02,10,141133,101726,3975,2699,398,319,294,900,188,61,0,114,45.79
2024-02-05,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-02,10,172568,114691,7558,5163,691,674,561,925,240,75,0,115,58.75
2024-02-05,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-02,20,516366,346639,27562,18628,2510,2789,1998,2601,837,279,291388,229,145.4
2024-02-05,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-02,19,173814,121858,6041,4070,598,512,467,1121,236,80,0,238,107.9
2024-02-05,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-02,8,81713,50244,1251,875,102,116,106,323,128,49,0,111,70.42
2024-02-05,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-02,5,55326,36277,1386,976,120,125,137,275,75,33,0,101,49.04
2024-02-05,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-02,10,164498,112022,4426,3007,456,344,323,1067,187,59,108926,131,49.28
2024-02-05,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-02,1,11456,6661,188,132,14,20,14,34,19,6,5688,13,9.54
2024-02-05,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-02,6,31501,20540,431,298,37,40,34,122,45,15,0,74,52.52
2024-02-05,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-02,23,1228470,758560,71558,50287,6133,6756,6215,5340,1671,623,672399,348,190.41
2024-02-05,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-02,31,527503,353483,25363,17061,2297,2537,1791,2752,866,302,0,395,243.9
2024-02-05,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-02,9,77780,49724,844,610,70,70,83,334,102,45,0,156,89.72
2024-02-05,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-02,15,196378,128399,3909,2639,363,356,232,1180,277,77,124272,165,89.24
2024-02-05,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-02,10,43292,26683,379,270,29,29,35,155,54,23,0,168,95.92
2024-02-05,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-02,6,218031,144593,7509,5278,667,648,640,1114,278,102,126454,79,38.6
2024-02-05,Facebook,Image,Community,Static,2024,2024-Q1,2024-02,7,45257,32098,318,226,32,22,29,278,51,21,0,118,62.86
2024-02-05,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-02,7,49449,35965,623,420,66,55,44,344,74,25,0,112,52.23
2024-02-05,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-02,13,145727,92293,1990,1352,164,206,143,707,246,80,91975,144,99.93
2024-02-05,Facebook,Text,Community,Static,2024,2024-Q1,2024-02,7,24227,16892,125,85,11,9,13,136,25,11,0,109,43.3
2024-02-05,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-02,13,53037,35718,467,304,46,38,29,360,67,21,0,185,80.64
2024-02-05,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-02,2,14311,8236,107,75,8,12,10,41,23,8,7010,25,18
2024-02-12,Instagram,Image,Visual,Static,2024,2024-Q1,2024-02,13,176418,113445,5201,3451,444,500,328,788,273,78,0,115,72.77
2024-02-12,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-02,10,199302,121456,7967,5563,622,707,668,721,274,100,0,139,90.42
2024-02-12,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-02,17,482403,317225,22479,15695,1903,2048,1990,2163,661,279,263216,317,158.94
2024-02-12,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-02,23,245640,157214,8336,5743,713,801,667,1118,356,124,0,289,179.61
2024-02-12,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-02,7,74279,51432,1232,883,116,98,99,422,90,29,0,93,34.72
2024-02-12,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-02,7,82670,60071,2231,1531,230,185,172,491,118,39,0,79,36.11
2024-02-12,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-02,14,236949,166261,8055,5459,697,836,592,1199,366,120,131762,153,84.77
2024-02-12,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-02,6,38276,26899,465,324,44,37,39,218,48,18,0,95,38.87
2024-02-12,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-02,19,894372,644109,54764,37093,5597,4214,3841,6063,1032,358,578345,320,118.78
2024-02-12,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-02,24,465280,288738,19448,13548,1501,1889,1749,1743,643,258,0,412,213.54
2024-02-12,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-02,9,72157,51278,890,601,88,76,60,354,105,31,0,98,42.89
2024-02-12,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-02,16,253616,162452,5292,3701,444,460,451,1096,335,123,136266,242,122.77
2024-02-12,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-02,7,30547,22899,292,203,28,23,22,190,42,14,0,91,34.85
2024-02-12,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-02,7,223760,145520,7740,5205,726,682,545,1368,292,91,144957,91,43.35
2024-02-12,Facebook,Image,Community,Static,2024,2024-Q1,2024-02,10,61373,39275,502,342,40,42,37,249,97,32,0,101,66.97
2024-02-12,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-02,6,49764,31436,539,373,45,49,44,205,62,23,0,85,41.34
2024-02-12,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-02,12,158918,103361,1828,1268,158,149,146,755,179,63,89995,163,72.37
2024-02-12,Facebook,Text,Community,Static,2024,2024-Q1,2024-02,7,21842,14409,136,92,12,13,11,117,33,10,0,78,43.17
2024-02-12,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-02,14,62531,40745,591,405,52,59,46,275,96,34,0,190,115.06
2024-02-12,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-02,2,24741,14920,435,306,33,50,35,87,45,16,12891,29,22.68
2024-02-19,Instagram,Image,Visual,Static,2024,2024-Q1,2024-02,12,216984,135906,6157,4417,500,592,569,899,304,121,0,200,109.59
2024-02-19,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-02,7,152370,107683,6066,4315,585,470,562,895,222,93,0,120,49
2024-02-19,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-02,18,468512,337970,24526,16442,2524,2104,1961,3292,674,236,302946,204,97.84
2024-02-19,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-02,14,161935,113159,4838,3479,466,335,457,942,186,69,0,207,93.8
2024-02-19,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-02,7,60748,38338,1049,700,86,101,67,258,92,25,0,62,38.95
2024-02-19,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-02,5,62215,38912,1534,1065,125,139,123,254,85,28,0,60,29.46
2024-02-19,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-02,9,162701,104454,4292,2976,350,379,374,692,206,85,87617,165,75.04
2024-02-19,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-02,7,35900,24004,487,331,44,44,36,184,54,17,0,74,38.36
2024-02-19,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-02,27,1307767,904487,95531,64749,9059,9812,7027,7357,2301,772,707243,306,209.9
2024-02-19,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-02,22,391727,295844,18347,12588,2000,1470,1409,3051,552,184,0,262,108.66
2024-02-19,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-02,10,81296,48057,878,606,66,87,69,275,117,41,0,120,72.93
2024-02-19,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-02,11,143173,102853,2745,1836,280,203,183,962,164,55,92482,176,63.64
2024-02-19,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-02,9,40056,24519,348,238,28,33,26,158,66,23,0,107,75.29
2024-02-19,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-02,6,229788,147423,8509,5918,780,869,694,967,362,133,121327,87,42.86
2024-02-19,Facebook,Image,Community,Static,2024,2024-Q1,2024-02,8,59438,37529,390,281,32,32,37,239,84,35,0,136,70.77
2024-02-19,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-02,6,44275,31779,473,326,47,33,41,289,51,20,0,96,34.08
2024-02-19,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-02,13,133788,90903,1758,1164,177,155,114,839,187,54,86262,194,91.27
2024-02-19,Facebook,Text,Community,Static,2024,2024-Q1,2024-02,7,28082,17611,145,104,11,12,13,104,34,13,0,117,69.01
2024-02-19,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-02,11,48058,32925,427,293,41,38,34,258,64,27,0,188,89.55
2024-02-19,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-02,2,15301,8622,106,72,7,11,7,40,23,7,7287,23,15.99
2024-02-26,Instagram,Image,Visual,Static,2024,2024-Q1,2024-02,12,184494,128705,5282,3466,507,422,324,1231,232,64,0,144,58.85
2024-02-26,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-02,9,168245,103928,7247,4894,588,711,513,669,256,79,0,85,56.23
2024-02-26,Instagram,Short Video,Visual,Video,2024,2024-Q1,2024-02,20,600533,372406,26153,18135,2066,2273,2158,2256,701,251,311323,279,165.96
2024-02-26,Instagram,Story,Visual,Ephemeral,2024,2024-Q1,2024-02,22,231170,150460,7870,5342,701,718,567,1149,338,104,0,214,122.67
2024-02-26,LinkedIn,Image,Professional,Static,2024,2024-Q1,2024-02,9,105455,65991,1782,1283,143,173,161,468,149,58,0,146,82.3
2024-02-26,LinkedIn,Carousel,Professional,Static,2024,2024-Q1,2024-02,5,69451,50209,1729,1224,172,128,157,441,83,34,0,79,26.29
2024-02-26,LinkedIn,Short Video,Professional,Video,2024,2024-Q1,2024-02,10,165794,118135,5073,3430,514,439,396,1127,236,81,105133,127,59.55
2024-02-26,LinkedIn,Long Video,Professional,Video,2024,2024-Q1,2024-02,3,35651,21528,629,435,48,71,51,117,65,24,17366,44,34.47
2024-02-26,LinkedIn,Text,Professional,Static,2024,2024-Q1,2024-02,6,37303,22787,468,332,36,44,42,139,49,19,0,94,47.68
2024-02-26,TikTok,Short Video,Short Video,Video,2024,2024-Q1,2024-02,18,926982,590770,52310,36164,4161,4557,4818,3714,1109,456,486351,323,143.58
2024-02-26,TikTok,Story,Short Video,Ephemeral,2024,2024-Q1,2024-02,26,509126,313797,21266,14570,1723,1990,1624,2060,682,219,0,295,199.86
2024-02-26,X (Twitter),Image,Conversation,Static,2024,2024-Q1,2024-02,8,69253,46085,823,587,73,74,73,348,90,34,0,121,58.52
2024-02-26,X (Twitter),Short Video,Conversation,Video,2024,2024-Q1,2024-02,17,236477,157606,5235,3541,470,534,381,1201,400,142,134928,225,139.19
2024-02-26,X (Twitter),Text,Conversation,Static,2024,2024-Q1,2024-02,8,39748,26283,349,251,30,31,33,189,58,24,0,135,71.75
2024-02-26,YouTube,Short Video,Video,Video,2024,2024-Q1,2024-02,5,164960,119460,5758,3851,590,417,429,1134,194,74,108600,79,29.42
2024-02-26,Facebook,Image,Community,Static,2024,2024-Q1,2024-02,7,47061,33007,356,249,35,28,29,284,57,19,0,97,34.35
2024-02-26,Facebook,Carousel,Community,Static,2024,2024-Q1,2024-02,7,52924,35431,652,446,59,62,50,298,82,27,0,84,48.22
2024-02-26,Facebook,Short Video,Community,Video,2024,2024-Q1,2024-02,12,149282,99918,2066,1423,188,208,162,766,241,86,84698,168,99.7
2024-02-26,Facebook,Text,Community,Static,2024,2024-Q1,2024-02,7,27853,20431,167,118,17,12,14,186,41,17,0,109,38.65
2024-02-26,Facebook,Story,Community,Ephemeral,2024,2024-Q1,2024-02,16,65830,45144,651,441,60,62,52,384,102,36,0,181,100.17
2024-02-26,Facebook,Long Video,Community,Video,2024,2024-Q1,2024-02,2,14932,8896,115,81,9,13,9,49,26,9,7657,28,21.48
2024-03-04,Instagram,Image,Visual,Static,2024,2024-Q1,2024-03,14,219311,138972,6597,4484,595,677,488,1072,349,117,0,172,109.24
2024-03-04,Instagram,Carousel,Visual,Static,2024,2024-Q1,2024-03,9,202565,124115,8279,5905,651,773,755,771,270,107,0,145,73.85
