Month,Channel,Device,Country,Year,Quarter,Month Label,Sessions,Users,New Users,Pageviews,Bounces,Session Seconds,Goal Completions,Goal Value
2024-01-01,Paid Search,Desktop,India,2024,2024-Q1,2024-01,6777,5522,3833,15878,3238,944062,291,27593.35
2024-01-01,Paid Search,Desktop,Australia,2024,2024-Q1,2024-01,3075,2531,1747,7143,1478,424467,134,12795.02
2024-01-01,Paid Search,Desktop,Canada,2024,2024-Q1,2024-01,4194,3433,2388,9781,1995,595077,178,16960.83
2024-01-01,Paid Search,Mobile,United States,2024,2024-Q1,2024-01,29267,23738,16500,56519,15791,4104613,1269,120944.97
2024-01-01,Paid Search,Mobile,United Kingdom,2024,2024-Q1,2024-01,9815,8074,5594,18568,5386,1389815,415,39653.16
2024-01-01,Paid Search,Mobile,Germany,2024,2024-Q1,2024-01,6233,5119,3546,11859,3450,879937,264,25527.5
2024-01-01,Paid Search,Mobile,India,2024,2024-Q1,2024-01,8345,6799,4736,15689,4522,1193330,348,32793.75
2024-01-01,Paid Search,Mobile,Australia,2024,2024-Q1,2024-01,3871,3165,2172,7431,2119,544346,166,15895.68
2024-01-01,Paid Search,Mobile,Canada,2024,2024-Q1,2024-01,5233,4258,2938,10066,2842,724820,225,21539.49
2024-01-01,Paid Search,Tablet,United States,2024,2024-Q1,2024-01,4516,3643,2544,10608,2153,639858,192,18204.44
2024-01-01,Paid Search,Tablet,United Kingdom,2024,2024-Q1,2024-01,1545,1266,887,3606,737,219464,66,6253.15
2024-01-01,Paid Search,Tablet,Germany,2024,2024-Q1,2024-01,1018,828,565,2398,487,139810,43,4092.32
2024-01-01,Paid Search,Tablet,India,2024,2024-Q1,2024-01,1308,1072,744,3009,626,183973,55,5212.27
2024-01-01,Paid Search,Tablet,Australia,2024,2024-Q1,2024-01,591,486,336,1375,287,83560,28,2709.23
2024-01-01,Paid Search,Tablet,Canada,2024,2024-Q1,2024-01,821,669,468,1908,384,116666,36,3381.32
2024-01-01,Direct,Desktop,United States,2024,2024-Q1,2024-01,29006,23619,7808,106494,10392,6403470,1101,104994.32
2024-01-01,Direct,Desktop,United Kingdom,2024,2024-Q1,2024-01,9923,8126,2717,36729,3555,2194892,386,36540.34
2024-01-01,Direct,Desktop,Germany,2024,2024-Q1,2024-01,6445,5280,1729,23518,2323,1407239,251,24113.52
2024-01-01,Direct,Desktop,India,2024,2024-Q1,2024-01,8364,6839,2275,30582,3010,1859016,321,30585.25
2024-01-01,Direct,Desktop,Australia,2024,2024-Q1,2024-01,3732,3037,1014,13364,1327,847989,141,13459.92
2024-01-01,Direct,Desktop,Canada,2024,2024-Q1,2024-01,5301,4327,1438,19581,1894,1179755,204,19217.99
2024-01-01,Direct,Mobile,United States,2024,2024-Q1,2024-01,35662,29453,9766,105718,14704,7859880,1370,132312.87
2024-01-01,Direct,Mobile,United Kingdom,2024,2024-Q1,2024-01,12053,9778,3262,35483,4948,2764365,464,43833.5
2024-01-01,Direct,Mobile,Germany,2024,2024-Q1,2024-01,7972,6527,2156,24064,3276,1747634,308,29663.08
2024-01-01,Direct,Mobile,India,2024,2024-Q1,2024-01,10607,8701,2879,32330,4338,2369194,422,40437.07
2024-01-01,Direct,Mobile,Australia,2024,2024-Q1,2024-01,4587,3772,1249,13484,1901,1020107,173,16462.43
2024-01-01,Direct,Mobile,Canada,2024,2024-Q1,2024-01,6520,5304,1775,19665,2658,1442576,252,24019.25
2024-01-01,Direct,Tablet,United States,2024,2024-Q1,2024-01,5731,4683,1532,21239,2061,1248245,220,20920.85
2024-01-01,Direct,Tablet,United Kingdom,2024,2024-Q1,2024-01,1873,1531,515,6738,675,419137,73,6944.88
2024-01-01,Direct,Tablet,Germany,2024,2024-Q1,2024-01,1247,1028,346,4545,451,279156,44,4200.76
2024-01-01,Direct,Tablet,India,2024,2024-Q1,2024-01,1620,1311,436,5877,572,365224,64,6033.06
2024-01-01,Direct,Tablet,Australia,2024,2024-Q1,2024-01,745,612,202,2713,267,163740,28,2673.02
2024-01-01,Direct,Tablet,Canada,2024,2024-Q1,2024-01,1013,829,276,3753,364,224390,41,3967.27
2024-01-01,Social,Desktop,United States,2024,2024-Q1,2024-01,16159,13203,9915,29766,10721,1214873,183,17601.76
2024-01-01,Social,Desktop,United Kingdom,2024,2024-Q1,2024-01,5446,4444,3386,9904,3569,408701,61,5855.97
2024-01-01,Social,Desktop,Germany,2024,2024-Q1,2024-01,3581,2915,2233,6436,2355,276642,40,3810.54
2024-01-01,Social,Desktop,India,2024,2024-Q1,2024-01,4695,3803,2904,8623,3061,350778,51,4799.15
2024-01-01,Social,Desktop,Australia,2024,2024-Q1,2024-01,2072,1706,1307,3771,1354,157710,27,2572.43
2024-01-01,Social,Desktop,Canada,2024,2024-Q1,2024-01,2883,2366,1786,5202,1925,218970,34,3311.24
2024-01-01,Social,Mobile,United States,2024,2024-Q1,2024-01,20218,16660,12646,30242,15250,1528976,221,21294.72
2024-01-01,Social,Mobile,United Kingdom,2024,2024-Q1,2024-01,6994,5733,4348,10633,5236,522443,79,7474.79
2024-01-01,Social,Mobile,Germany,2024,2024-Q1,2024-01,4362,3597,2726,6404,3308,328588,47,4497.42
2024-01-01,Social,Mobile,India,2024,2024-Q1,2024-01,5847,4779,3656,8752,4369,438920,66,6318.01
2024-01-01,Social,Mobile,Australia,2024,2024-Q1,2024-01,2588,2113,1634,3867,1936,202892,29,2746.02
2024-01-01,Social,Mobile,Canada,2024,2024-Q1,2024-01,3672,2997,2251,5551,2739,269110,42,3992.11
2024-01-01,Social,Tablet,United States,2024,2024-Q1,2024-01,3123,2563,1950,5641,2071,236815,36,3480
2024-01-01,Social,Tablet,United Kingdom,2024,2024-Q1,2024-01,1060,858,658,1944,692,81071,5,476.8
2024-01-01,Social,Tablet,Germany,2024,2024-Q1,2024-01,698,575,439,1258,459,52619,0,0
2024-01-01,Social,Tablet,India,2024,2024-Q1,2024-01,936,767,586,1739,617,70243,3,294.32
2024-01-01,Social,Tablet,Australia,2024,2024-Q1,2024-01,390,320,245,694,256,29548,0,0
2024-01-01,Social,Tablet,Canada,2024,2024-Q1,2024-01,571,468,356,1036,374,43272,0,0
2024-01-01,Referral,Desktop,United States,2024,2024-Q1,2024-01,7039,5733,3714,18320,3645,1112691,133,12454.57
2024-01-01,Referral,Desktop,United Kingdom,2024,2024-Q1,2024-01,2429,1967,1271,6445,1250,382830,46,4350.32
2024-01-01,Referral,Desktop,Germany,2024,2024-Q1,2024-01,1568,1278,821,4122,810,250877,32,3033.86
2024-01-01,Referral,Desktop,India,2024,2024-Q1,2024-01,2051,1695,1091,5395,1078,322619,41,3952.99
2024-01-01,Referral,Desktop,Australia,2024,2024-Q1,2024-01,910,747,485,2356,471,145254,18,1711.6
2024-01-01,Referral,Desktop,Canada,2024,2024-Q1,2024-01,1289,1060,684,3381,672,204843,26,2482.98
2024-01-01,Referral,Mobile,United States,2024,2024-Q1,2024-01,8850,7319,4728,18947,5290,1386221,166,15824.35
2024-01-01,Referral,Mobile,United Kingdom,2024,2024-Q1,2024-01,3039,2480,1595,6629,1796,472381,60,5781.73
2024-01-01,Referral,Mobile,Germany,2024,2024-Q1,2024-01,1960,1603,1048,4227,1151,315016,39,3685.01
2024-01-01,Referral,Mobile,India,2024,2024-Q1,2024-01,2615,2131,1354,5674,1545,403148,50,4784.13
2024-01-01,Referral,Mobile,Australia,2024,2024-Q1,2024-01,1155,947,613,2493,683,182267,25,2387.74
2024-01-01,Referral,Mobile,Canada,2024,2024-Q1,2024-01,1556,1283,831,3355,930,248888,30,2908.1
2024-01-01,Referral,Tablet,United States,2024,2024-Q1,2024-01,1404,1146,734,3659,730,223963,28,2640.74
2024-01-01,Referral,Tablet,United Kingdom,2024,2024-Q1,2024-01,478,391,250,1282,248,73610,0,0
2024-01-01,Referral,Tablet,Germany,2024,2024-Q1,2024-01,296,246,155,759,152,47300,0,0
2024-01-01,Referral,Tablet,India,2024,2024-Q1,2024-01,407,329,213,1064,212,64357,0,0
2024-01-01,Referral,Tablet,Australia,2024,2024-Q1,2024-01,186,150,94,498,94,28964,0,0
2024-01-01,Referral,Tablet,Canada,2024,2024-Q1,2024-01,248,201,133,652,127,38061,0,0
2024-01-01,Email,Desktop,United States,2024,2024-Q1,2024-01,9706,7907,1708,28508,3172,2008419,576,54373.62
2024-01-01,Email,Desktop,United Kingdom,2024,2024-Q1,2024-01,3303,2718,581,9650,1092,668035,193,18610.04
2024-01-01,Email,Desktop,Germany,2024,2024-Q1,2024-01,2111,1725,376,6131,695,441253,123,11790.39
2024-01-01,Email,Desktop,India,2024,2024-Q1,2024-01,2834,2317,499,8298,935,579093,164,15581.86
2024-01-01,Email,Desktop,Australia,2024,2024-Q1,2024-01,1298,1063,230,3909,427,261393,77,7343.05
2024-01-01,Email,Desktop,Canada,2024,2024-Q1,2024-01,1759,1449,310,5090,581,355769,103,9789.83
2024-01-01,Email,Mobile,United States,2024,2024-Q1,2024-01,12037,9779,2127,28821,4437,2509623,712,67549.06
2024-01-01,Email,Mobile,United Kingdom,2024,2024-Q1,2024-01,4264,3502,745,10346,1602,865362,254,24118.22
2024-01-01,Email,Mobile,Germany,2024,2024-Q1,2024-01,2642,2149,459,6384,990,537325,155,14674.04
2024-01-01,Email,Mobile,India,2024,2024-Q1,2024-01,3507,2910,628,8389,1321,715264,203,19536.03
2024-01-01,Email,Mobile,Australia,2024,2024-Q1,2024-01,1575,1269,271,3769,588,323909,95,9035.08
2024-01-01,Email,Mobile,Canada,2024,2024-Q1,2024-01,2182,1785,384,5255,820,443632,129,12155.72
2024-01-01,Email,Tablet,United States,2024,2024-Q1,2024-01,1864,1532,330,5364,615,384086,105,10004.51
2024-01-01,Email,Tablet,United Kingdom,2024,2024-Q1,2024-01,648,529,114,1884,214,132763,37,3568.82
2024-01-01,Email,Tablet,Germany,2024,2024-Q1,2024-01,423,346,77,1241,139,86569,28,2669.2
2024-01-01,Email,Tablet,India,2024,2024-Q1,2024-01,553,456,96,1637,183,111575,34,3280.03
2024-01-01,Email,Tablet,Australia,2024,2024-Q1,2024-01,244,199,46,714,78,48858,11,1020.12
2024-01-01,Email,Tablet,Canada,2024,2024-Q1,2024-01,339,277,55,997,112,70343,23,2170.2
2024-01-01,Display,Desktop,United States,2024,2024-Q1,2024-01,5758,4711,3758,8671,4148,312560,40,3815.21
2024-01-01,Display,Desktop,United Kingdom,2024,2024-Q1,2024-01,1937,1593,1267,2917,1389,104218,9,823.68
2024-01-01,Display,Desktop,Germany,2024,2024-Q1,2024-01,1303,1068,843,2006,935,68295,0,0
2024-01-01,Display,Desktop,India,2024,2024-Q1,2024-01,1660,1364,1070,2505,1201,89766,7,674.52
2024-01-01,Display,Desktop,Australia,2024,2024-Q1,2024-01,756,617,486,1159,545,39994,0,0
2024-01-01,Display,Desktop,Canada,2024,2024-Q1,2024-01,1050,857,685,1593,747,57805,0,0
2024-01-01,Display,Mobile,United States,2024,2024-Q1,2024-01,7198,5863,4653,9033,5872,381050,52,4951.02
2024-01-01,Display,Mobile,United Kingdom,2024,2024-Q1,2024-01,2397,1972,1551,2924,1971,130965,16,1492.94
2024-01-01,Display,Mobile,Germany,2024,2024-Q1,2024-01,1571,1282,1017,1957,1283,85215,4,387.66
2024-01-01,Display,Mobile,India,2024,2024-Q1,2024-01,2076,1693,1344,2564,1688,112988,13,1208.6
2024-01-01,Display,Mobile,Australia,2024,2024-Q1,2024-01,956,786,621,1208,782,50851,0,0
2024-01-01,Display,Mobile,Canada,2024,2024-Q1,2024-01,1260,1026,815,1540,1033,68317,0,0
2024-01-01,Display,Tablet,United States,2024,2024-Q1,2024-01,1130,918,729,1732,811,61632,0,0
2024-01-01,Display,Tablet,United Kingdom,2024,2024-Q1,2024-01,388,320,252,597,275,20429,0,0
2024-01-01,Display,Tablet,Germany,2024,2024-Q1,2024-01,248,204,165,381,175,13067,0,0
2024-01-01,Display,Tablet,India,2024,2024-Q1,2024-01,326,269,213,490,236,17791,0,0
2024-01-01,Display,Tablet,Australia,2024,2024-Q1,2024-01,146,119,91,226,102,8021,0,0
2024-01-01,Display,Tablet,Canada,2024,2024-Q1,2024-01,206,165,127,313,149,11065,0,0
2024-02-01,Organic Search,Desktop,United States,2024,2024-Q1,2024-02,60253,49350,29764,190814,24646,10749534,1909,183166.28
2024-02-01,Organic Search,Desktop,United Kingdom,2024,2024-Q1,2024-02,20177,16524,9932,63790,8232,3691606,648,61995
2024-02-01,Organic Search,Desktop,Germany,2024,2024-Q1,2024-02,13199,10791,6504,40992,5381,2350871,404,38579.73
2024-02-01,Organic Search,Desktop,India,2024,2024-Q1,2024-02,17235,14012,8577,54514,6979,3120099,546,52084.19
2024-02-01,Organic Search,Desktop,Australia,2024,2024-Q1,2024-02,7664,6248,3791,23801,3127,1405847,238,22605.29
2024-02-01,Organic Search,Desktop,Canada,2024,2024-Q1,2024-02,10517,8539,5206,33214,4309,1883543,332,31608.44
2024-02-01,Organic Search,Mobile,United States,2024,2024-Q1,2024-02,73693,60513,36567,190790,34629,13407672,2317,222528.95
2024-02-01,Organic Search,Mobile,United Kingdom,2024,2024-Q1,2024-02,24729,20222,12263,63318,11492,4468401,771,72933.79
2024-02-01,Organic Search,Mobile,Germany,2024,2024-Q1,2024-02,16460,13539,8216,41800,7691,2972384,517,49682.75
2024-02-01,Organic Search,Mobile,India,2024,2024-Q1,2024-02,21228,17239,10465,55299,9917,3880200,680,65052.14
2024-02-01,Organic Search,Mobile,Australia,2024,2024-Q1,2024-02,9501,7795,4724,24416,4426,1717324,291,27676.02
2024-02-01,Organic Search,Mobile,Canada,2024,2024-Q1,2024-02,13320,10872,6586,34588,6227,2388754,425,40836.56
2024-02-01,Organic Search,Tablet,United States,2024,2024-Q1,2024-02,11545,9425,5674,36393,4725,2060994,365,34986.05
2024-02-01,Organic Search,Tablet,United Kingdom,2024,2024-Q1,2024-02,3940,3226,1957,12323,1595,722956,123,11562.82
2024-02-01,Organic Search,Tablet,Germany,2024,2024-Q1,2024-02,2567,2107,1281,8051,1058,471949,80,7600.42
2024-02-01,Organic Search,Tablet,India,2024,2024-Q1,2024-02,3351,2734,1655,10476,1354,606063,106,10006.33
2024-02-01,Organic Search,Tablet,Australia,2024,2024-Q1,2024-02,1488,1232,752,4622,614,273078,46,4378.66
2024-02-01,Organic Search,Tablet,Canada,2024,2024-Q1,2024-02,2052,1674,1013,6402,841,366776,64,6161.77
2024-02-01,Paid Search,Desktop,United States,2024,2024-Q1,2024-02,23762,19447,13406,54120,11324,3287456,1004,96931.69
2024-02-01,Paid Search,Desktop,United Kingdom,2024,2024-Q1,2024-02,8185,6651,4623,19106,3899,1166269,352,33219.25
2024-02-01,Paid Search,Desktop,Germany,2024,2024-Q1,2024-02,5147,4191,2938,11958,2482,735587,218,20894.25
2024-02-01,Paid Search,Desktop,India,2024,2024-Q1,2024-02,6947,5676,3924,16152,3302,961438,299,28437.44
2024-02-01,Paid Search,Desktop,Australia,2024,2024-Q1,2024-02,3027,2469,1719,6959,1450,432437,126,11855.22
2024-02-01,Paid Search,Desktop,Canada,2024,2024-Q1,2024-02,4286,3522,2431,10005,2051,594314,180,17457.28
2024-02-01,Paid Search,Mobile,United States,2024,2024-Q1,2024-02,29548,24170,16661,56705,16291,4077501,1247,119610.01
2024-02-01,Paid Search,Mobile,United Kingdom,2024,2024-Q1,2024-02,10234,8375,5842,19834,5606,1443516,441,42074.91
2024-02-01,Paid Search,Mobile,Germany,2024,2024-Q1,2024-02,6599,5392,3716,12441,3604,925537,273,25972.1
2024-02-01,Paid Search,Mobile,India,2024,2024-Q1,2024-02,8774,7209,4978,16906,4798,1213832,376,35821.95
2024-02-01,Paid Search,Mobile,Australia,2024,2024-Q1,2024-02,3837,3152,2196,7311,2092,550379,165,15605.19
2024-02-01,Paid Search,Mobile,Canada,2024,2024-Q1,2024-02,5429,4457,3077,10438,2970,750801,231,21967.72
2024-02-01,Paid Search,Tablet,United States,2024,2024-Q1,2024-02,4723,3885,2704,10896,2275,663127,197,18792.85
2024-02-01,Paid Search,Tablet,United Kingdom,2024,2024-Q1,2024-02,1590,1296,898,3680,756,226146,69,6589.14
2024-02-01,Paid Search,Tablet,Germany,2024,2024-Q1,2024-02,1005,827,575,2310,483,142858,41,3872.12
2024-02-01,Paid Search,Tablet,India,2024,2024-Q1,2024-02,1353,1118,781,3150,652,187611,57,5517.06
2024-02-01,Paid Search,Tablet,Australia,2024,2024-Q1,2024-02,602,495,344,1379,286,85435,26,2461.73
2024-02-01,Paid Search,Tablet,Canada,2024,2024-Q1,2024-02,856,704,482,2007,412,118391,37,3561.69
2024-02-01,Direct,Desktop,United States,2024,2024-Q1,2024-02,29414,24129,8093,106922,10542,6639586,1122,106603.16
2024-02-01,Direct,Desktop,United Kingdom,2024,2024-Q1,2024-02,9990,8099,2662,36375,3565,2237292,387,36852.31
2024-02-01,Direct,Desktop,Germany,2024,2024-Q1,2024-02,6426,5241,1746,23311,2311,1438978,240,22652.73
2024-02-01,Direct,Desktop,India,2024,2024-Q1,2024-02,8581,7053,2340,31400,3116,1918267,329,31872.27
2024-02-01,Direct,Desktop,Australia,2024,2024-Q1,2024-02,3853,3148,1051,14004,1375,860318,148,13867.95
2024-02-01,Direct,Desktop,Canada,2024,2024-Q1,2024-02,5333,4384,1451,19555,1931,1184827,201,19343.59
2024-02-01,Direct,Mobile,United States,2024,2024-Q1,2024-02,36972,30333,10079,108690,15248,8327264,1404,134030.6
2024-02-01,Direct,Mobile,United Kingdom,2024,2024-Q1,2024-02,12595,10289,3408,37944,5122,2743893,487,46365.06
2024-02-01,Direct,Mobile,Germany,2024,2024-Q1,2024-02,8125,6707,2258,24534,3317,1858029,313,29688.7
2024-02-01,Direct,Mobile,India,2024,2024-Q1,2024-02,10685,8717,2858,31865,4375,2336943,410,39259.77
2024-02-01,Direct,Mobile,Australia,2024,2024-Q1,2024-02,4806,3908,1311,14513,1963,1067922,187,17710.53
2024-02-01,Direct,Mobile,Canada,2024,2024-Q1,2024-02,6598,5426,1803,19274,2710,1488614,250,23826.09
2024-02-01,Direct,Tablet,United States,2024,2024-Q1,2024-02,5636,4624,1550,20244,2010,1276403,213,20280.38
2024-02-01,Direct,Tablet,United Kingdom,2024,2024-Q1,2024-02,2000,1648,547,7245,720,440317,76,7265.52
2024-02-01,Direct,Tablet,Germany,2024,2024-Q1,2024-02,1234,1007,333,4434,441,279004,46,4393.95
2024-02-01,Direct,Tablet,India,2024,2024-Q1,2024-02,1695,1390,456,6167,608,372032,66,6375.04
2024-02-01,Direct,Tablet,Australia,2024,2024-Q1,2024-02,769,626,208,2839,275,172808,32,3089.03
2024-02-01,Direct,Tablet,Canada,2024,2024-Q1,2024-02,1034,847,283,3738,371,226687,39,3719.82
2024-02-01,Social,Desktop,United States,2024,2024-Q1,2024-02,16310,13425,10296,29316,10699,1261949,180,16975.3
2024-02-01,Social,Desktop,United Kingdom,2024,2024-Q1,2024-02,5687,4697,3590,10430,3777,430347,62,5947.18
2024-02-01,Social,Desktop,Germany,2024,2024-Q1,2024-02,3581,2906,2222,6483,2343,270677,41,3869.6
2024-02-01,Social,Desktop,India,2024,2024-Q1,2024-02,4797,3945,3013,8676,3175,361958,54,5232.61
2024-02-01,Social,Desktop,Australia,2024,2024-Q1,2024-02,2180,1783,1357,4041,1440,166635,26,2494.64
2024-02-01,Social,Desktop,Canada,2024,2024-Q1,2024-02,2944,2419,1845,5276,1942,221805,34,3223.04
2024-02-01,Social,Mobile,United States,2024,2024-Q1,2024-02,20690,16956,13020,30884,15388,1601703,232,22019.1
2024-02-01,Social,Mobile,United Kingdom,2024,2024-Q1,2024-02,6971,5689,4283,10473,5272,518220,78,7479.59
2024-02-01,Social,Mobile,Germany,2024,2024-Q1,2024-02,4522,3672,2818,6712,3357,338820,51,4840.09
2024-02-01,Social,Mobile,India,2024,2024-Q1,2024-02,5931,4886,3739,8731,4473,455803,67,6368.48
2024-02-01,Social,Mobile,Australia,2024,2024-Q1,2024-02,2667,2161,1639,4004,1976,199292,29,2752.99
2024-02-01,Social,Mobile,Canada,2024,2024-Q1,2024-02,3612,2961,2278,5310,2692,276496,40,3788.85
2024-02-01,Social,Tablet,United States,2024,2024-Q1,2024-02,3183,2612,2004,5769,2095,242975,36,3429.9
2024-02-01,Social,Tablet,United Kingdom,2024,2024-Q1,2024-02,1116,916,689,2026,740,83157,9,842.16
2024-02-01,Social,Tablet,Germany,2024,2024-Q1,2024-02,722,590,449,1330,472,54394,0,0
2024-02-01,Social,Tablet,India,2024,2024-Q1,2024-02,917,751,567,1657,607,69253,2,192.57
2024-02-01,Social,Tablet,Australia,2024,2024-Q1,2024-02,424,347,265,778,277,32167,0,0
2024-02-01,Social,Tablet,Canada,2024,2024-Q1,2024-02,572,468,363,1041,376,44464,0,0
2024-02-01,Referral,Desktop,United States,2024,2024-Q1,2024-02,7202,5895,3849,19083,3716,1137055,141,13468.44
2024-02-01,Referral,Desktop,United Kingdom,2024,2024-Q1,2024-02,2480,2042,1304,6417,1288,387605,48,4615.98
2024-02-01,Referral,Desktop,Germany,2024,2024-Q1,2024-02,1635,1338,864,4396,852,256605,33,3171.65
2024-02-01,Referral,Desktop,India,2024,2024-Q1,2024-02,2086,1704,1097,5381,1076,327414,38,3625.38
2024-02-01,Referral,Desktop,Australia,2024,2024-Q1,2024-02,965,791,506,2568,501,150817,23,2183.58
2024-02-01,Referral,Desktop,Canada,2024,2024-Q1,2024-02,1300,1060,687,3451,675,206607,27,2565.05
2024-02-01,Referral,Mobile,United States,2024,2024-Q1,2024-02,8937,7238,4663,19229,5238,1396080,175,16613.91
2024-02-01,Referral,Mobile,United Kingdom,2024,2024-Q1,2024-02,3053,2519,1627,6532,1800,479839,58,5553.5
2024-02-01,Referral,Mobile,Germany,2024,2024-Q1,2024-02,1997,1621,1042,4333,1171,314775,40,3802.18
2024-02-01,Referral,Mobile,India,2024,2024-Q1,2024-02,2600,2120,1367,5542,1533,407053,49,4592.75
2024-02-01,Referral,Mobile,Australia,2024,2024-Q1,2024-02,1184,973,626,2537,707,186067,26,2483.36
2024-02-01,Referral,Mobile,Canada,2024,2024-Q1,2024-02,1611,1316,849,3430,949,256467,32,3058.42
2024-02-01,Referral,Tablet,United States,2024,2024-Q1,2024-02,1425,1159,749,3778,736,219698,28,2677.71
2024-02-01,Referral,Tablet,United Kingdom,2024,2024-Q1,2024-02,485,403,260,1284,252,76116,2,195.67
2024-02-01,Referral,Tablet,Germany,2024,2024-Q1,2024-02,314,253,161,840,163,49264,0,0
2024-02-01,Referral,Tablet,India,2024,2024-Q1,2024-02,411,336,220,1078,215,65526,0,0
2024-02-01,Referral,Tablet,Australia,2024,2024-Q1,2024-02,193,155,96,509,99,30562,0,0
2024-02-01,Referral,Tablet,Canada,2024,2024-Q1,2024-02,251,208,135,657,129,40432,0,0
2024-02-01,Email,Desktop,United States,2024,2024-Q1,2024-02,10155,8287,1774,30276,3330,2037853,595,57304.94
2024-02-01,Email,Desktop,United Kingdom,2024,2024-Q1,2024-02,3427,2803,604,10048,1131,706321,204,19518.95
2024-02-01,Email,Desktop,Germany,2024,2024-Q1,2024-02,2220,1810,386,6579,729,444871,127,12055.28
2024-02-01,Email,Desktop,India,2024,2024-Q1,2024-02,2923,2398,518,8637,962,599330,175,16651.73
2024-02-01,Email,Desktop,Australia,2024,2024-Q1,2024-02,1308,1066,228,3789,429,266777,75,7173.48
2024-02-01,Email,Desktop,Canada,2024,2024-Q1,2024-02,1806,1467,317,5327,592,367479,108,10275.29
2024-02-01,Email,Mobile,United States,2024,2024-Q1,2024-02,12627,10305,2219,30522,4709,2582938,742,70043.55
2024-02-01,Email,Mobile,United Kingdom,2024,2024-Q1,2024-02,4151,3373,722,9884,1550,855049,243,22891.44
2024-02-01,Email,Mobile,Germany,2024,2024-Q1,2024-02,2768,2273,487,6694,1043,560595,164,15774.09
2024-02-01,Email,Mobile,India,2024,2024-Q1,2024-02,3554,2903,630,8404,1340,742323,209,20067.35
2024-02-01,Email,Mobile,Australia,2024,2024-Q1,2024-02,1605,1320,283,3847,603,323918,90,8531.79
2024-02-01,Email,Mobile,Canada,2024,2024-Q1,2024-02,2275,1865,400,5583,851,457017,135,12888.53
2024-02-01,Email,Tablet,United States,2024,2024-Q1,2024-02,1987,1613,347,5936,656,400431,119,11351.27
2024-02-01,Email,Tablet,United Kingdom,2024,2024-Q1,2024-02,660,535,117,1918,217,137981,40,3778.03
2024-02-01,Email,Tablet,Germany,2024,2024-Q1,2024-02,432,353,76,1291,143,89076,26,2461.84
2024-02-01,Email,Tablet,India,2024,2024-Q1,2024-02,560,458,97,1636,180,115225,34,3228.46
2024-02-01,Email,Tablet,Australia,2024,2024-Q1,2024-02,255,213,48,749,87,51969,13,1180.95
2024-02-01,Email,Tablet,Canada,2024,2024-Q1,2024-02,340,276,57,997,111,68720,24,2303.15
2024-02-01,Display,Desktop,United States,2024,2024-Q1,2024-02,5955,4856,3817,9130,4274,318913,41,3921.1
