Month,Month Label,Year,Landing Page,Page Category,Search Intent,Pageviews,Entrances,Exits,Avg Time on Page,Page Conversions,Scroll Depth,Time Pool,Scroll Pool
2024-03-01,2024-03,2024,/blog/marketing-attribution-guide,Blog,Informational,29868,15371,6842,238,153,0.36,7108584,10752.48
2024-03-01,2024-03,2024,/blog/roas-benchmarks-2025,Blog,Informational,23832,13791,6549,231,199,0.44,5505192,10486.08
2024-03-01,2024-03,2024,/blog/email-subject-lines,Blog,Informational,12022,8552,4443,148,89,0.6,1779256,7213.2
2024-03-01,2024-03,2024,/resources/roi-calculator,Tool,Commercial,9494,3374,3943,261,199,0.68,2477934,6455.92
2024-03-01,2024-03,2024,/resources/templates,Tool,Informational,11846,5782,6043,145,142,0.85,1717670,10069.1
2024-03-01,2024-03,2024,/customers/case-study-northwind,Case Study,Commercial,7680,4240,1965,234,187,0.41,1797120,3148.8
2024-03-01,2024-03,2024,/compare/vs-competitor,Comparison,Commercial,7200,4931,2525,158,307,0.57,1137600,4104.0
2024-03-01,2024-03,2024,/demo,Demo,Transactional,6916,5179,2741,91,1136,0.65,629356,4495.4
2024-04-01,2024-04,2024,/,Home,Navigational,55512,27705,14823,68,211,0.34,3774816,18874.08
2024-04-01,2024-04,2024,/pricing,Pricing,Commercial,17739,11207,5548,136,739,0.5,2412504,8869.5
2024-04-01,2024-04,2024,/product/analytics,Product,Commercial,15084,10496,6147,140,455,0.58,2111760,8748.72
2024-04-01,2024-04,2024,/product/automation,Product,Commercial,13545,5534,6140,140,159,0.75,1896300,10158.75
2024-04-01,2024-04,2024,/blog/marketing-attribution-guide,Blog,Informational,31012,14655,7693,243,150,0.39,7535916,12094.68
2024-04-01,2024-04,2024,/blog/roas-benchmarks-2025,Blog,Informational,15829,9581,4651,224,142,0.47,3545696,7439.63
2024-04-01,2024-04,2024,/blog/email-subject-lines,Blog,Informational,12573,8415,4886,152,85,0.64,1911096,8046.72
2024-04-01,2024-04,2024,/resources/roi-calculator,Tool,Commercial,9882,3775,4292,251,229,0.72,2480382,7115.04
2024-04-01,2024-04,2024,/resources/templates,Tool,Informational,12308,5490,2820,148,129,0.36,1821584,4430.88
2024-04-01,2024-04,2024,/customers/case-study-northwind,Case Study,Commercial,7955,4604,2186,227,209,0.44,1805785,3500.2
2024-04-01,2024-04,2024,/compare/vs-competitor,Comparison,Commercial,7538,4845,2786,162,291,0.6,1221156,4522.8
2024-04-01,2024-04,2024,/demo,Demo,Transactional,7205,2561,2993,94,385,0.68,677270,4899.4
2024-05-01,2024-05,2024,/,Home,Navigational,57557,30257,13639,69,237,0.37,3971433,21296.09
2024-05-01,2024-05,2024,/pricing,Pricing,Commercial,26657,17551,8844,139,1114,0.54,3705323,14394.78
2024-05-01,2024-05,2024,/product/analytics,Product,Commercial,15741,11372,5942,143,504,0.62,2250963,9759.42
2024-05-01,2024-05,2024,/product/automation,Product,Commercial,13111,5705,6192,144,156,0.78,1887984,10226.58
2024-05-01,2024-05,2024,/blog/marketing-attribution-guide,Blog,Informational,32174,16060,16667,248,169,0.34,7979152,10939.16
2024-05-01,2024-05,2024,/blog/roas-benchmarks-2025,Blog,Informational,24061,15203,7526,228,216,0.5,5485908,12030.5
2024-05-01,2024-05,2024,/blog/email-subject-lines,Blog,Informational,13133,9139,4709,156,94,0.58,2048748,7617.14
2024-05-01,2024-05,2024,/resources/roi-calculator,Tool,Commercial,9553,3903,4331,258,226,0.75,2464674,7164.75
2024-05-01,2024-05,2024,/resources/templates,Tool,Informational,12778,6039,6377,152,146,0.83,1942256,10605.74
2024-05-01,2024-05,2024,/customers/case-study-northwind,Case Study,Commercial,7751,4692,2278,232,218,0.47,1798232,3642.97
2024-05-01,2024-05,2024,/compare/vs-competitor,Comparison,Commercial,7882,5276,2677,166,324,0.55,1308412,4335.1
2024-05-01,2024-05,2024,/demo,Demo,Transactional,6955,2657,3021,90,412,0.72,625950,5007.6
2024-06-01,2024-06,2024,/,Home,Navigational,55973,30913,14327,67,249,0.41,3750191,22948.93
2024-06-01,2024-06,2024,/pricing,Pricing,Commercial,17788,10963,6239,99,713,0.49,1761012,8716.12
2024-06-01,2024-06,2024,/product/analytics,Product,Commercial,15150,11348,6007,138,514,0.65,2090700,9847.5
2024-06-01,2024-06,2024,/product/automation,Product,Commercial,13639,5361,6701,147,151,0.73,2004933,9956.47
2024-06-01,2024-06,2024,/blog/marketing-attribution-guide,Blog,Informational,33355,17537,7906,240,189,0.37,8005200,12341.35
2024-06-01,2024-06,2024,/blog/roas-benchmarks-2025,Blog,Informational,24910,14692,8265,233,214,0.45,5804030,11209.5
2024-06-01,2024-06,2024,/blog/email-subject-lines,Blog,Informational,13703,9900,5173,150,104,0.62,2055450,8495.86
2024-06-01,2024-06,2024,/resources/roi-calculator,Tool,Commercial,9946,3645,4698,264,217,0.78,2625744,7757.88
2024-06-01,2024-06,2024,/resources/templates,Tool,Informational,13255,6617,6867,146,164,0.34,1935230,4506.7
2024-06-01,2024-06,2024,/customers/case-study-northwind,Case Study,Commercial,8029,4522,2512,236,202,0.5,1894844,4014.5
2024-06-01,2024-06,2024,/compare/vs-competitor,Comparison,Commercial,8233,5730,2952,159,360,0.58,1309047,4775.14
2024-06-01,2024-06,2024,/demo,Demo,Transactional,7248,5508,3286,92,814,0.75,666816,5436.0
2024-07-01,2024-07,2024,/,Home,Navigational,58040,29612,15959,69,229,0.44,4004760,25537.6
2024-07-01,2024-07,2024,/pricing,Pricing,Commercial,18617,11969,5970,102,797,0.52,1898934,9680.84
2024-07-01,2024-07,2024,/product/analytics,Product,Commercial,15814,5624,6570,141,246,0.68,2229774,10753.52
2024-07-01,2024-07,2024,/product/automation,Product,Commercial,14176,5949,6538,150,172,0.76,2126400,10773.76
2024-07-01,2024-07,2024,/blog/marketing-attribution-guide,Blog,Informational,32433,17915,8303,245,185,0.41,7946085,13297.53
2024-07-01,2024-07,2024,/blog/roas-benchmarks-2025,Blog,Informational,16621,10245,5015,166,153,0.49,2759086,8144.29
2024-07-01,2024-07,2024,/blog/email-subject-lines,Blog,Informational,13187,9878,5229,154,100,0.65,2030798,8571.55
2024-07-01,2024-07,2024,/resources/roi-calculator,Tool,Commercial,10346,4067,4576,270,250,0.73,2793420,7552.58
2024-07-01,2024-07,2024,/resources/templates,Tool,Informational,12875,6770,3052,150,161,0.37,1931250,4763.75
2024-07-01,2024-07,2024,/customers/case-study-northwind,Case Study,Commercial,8311,4902,2350,241,224,0.45,2002951,3739.95
2024-07-01,2024-07,2024,/compare/vs-competitor,Comparison,Commercial,7910,5715,2987,164,367,0.62,1297240,4904.2
2024-07-01,2024-07,2024,/demo,Demo,Transactional,7545,2766,3194,94,421,0.7,709230,5281.5
2024-08-01,2024-08,2024,/,Home,Navigational,60140,32283,17679,70,256,0.39,4209800,23454.6
2024-08-01,2024-08,2024,/pricing,Pricing,Commercial,17822,11932,6054,97,813,0.55,1728734,9802.1
2024-08-01,2024-08,2024,/product/analytics,Product,Commercial,16490,12096,7165,145,541,0.63,2391050,10388.7
2024-08-01,2024-08,2024,/product/automation,Product,Commercial,13723,6124,6590,145,183,0.79,1989835,10841.17
2024-08-01,2024-08,2024,/blog/marketing-attribution-guide,Blog,Informational,33627,17159,9248,250,182,0.35,8406750,11769.45
2024-08-01,2024-08,2024,/blog/roas-benchmarks-2025,Blog,Informational,17393,11183,5579,230,171,0.52,4000390,9044.36
2024-08-01,2024-08,2024,/blog/email-subject-lines,Blog,Informational,13763,9731,5719,158,101,0.6,2174554,8257.8
2024-08-01,2024-08,2024,/resources/roi-calculator,Tool,Commercial,10752,4513,4960,260,286,0.76,2795520,8171.52
2024-08-01,2024-08,2024,/resources/templates,Tool,Informational,13358,6462,3420,153,158,0.41,2043774,5476.78
2024-08-01,2024-08,2024,/customers/case-study-northwind,Case Study,Commercial,5545,3418,1673,234,160,0.49,1297530,2717.05
2024-08-01,2024-08,2024,/compare/vs-competitor,Comparison,Commercial,8264,5624,3277,168,349,0.65,1388352,5371.6
2024-08-01,2024-08,2024,/demo,Demo,Transactional,7847,3085,3471,91,484,0.73,714077,5728.31
2024-09-01,2024-09,2024,/,Home,Navigational,62272,35084,16434,71,285,0.42,4421312,26154.24
2024-09-01,2024-09,2024,/pricing,Pricing,Commercial,18661,11708,6694,100,769,0.58,1866100,10823.38
2024-09-01,2024-09,2024,/product/analytics,Product,Commercial,17176,5842,6946,148,178,0.66,2542048,11336.16
2024-09-01,2024-09,2024,/product/automation,Product,Commercial,14266,6746,7122,148,192,0.83,2111368,11840.78
2024-09-01,2024-09,2024,/blog/marketing-attribution-guide,Blog,Informational,34839,18704,8534,255,204,0.39,8883945,13587.21
2024-09-01,2024-09,2024,/blog/roas-benchmarks-2025,Blog,Informational,16648,11147,5656,163,164,0.55,2713624,9156.4
2024-09-01,2024-09,2024,/blog/email-subject-lines,Blog,Informational,14349,10527,5531,161,112,0.63,2310189,9039.87
2024-09-01,2024-09,2024,/resources/roi-calculator,Tool,Commercial,10407,4645,4998,266,280,0.79,2768262,8221.53
2024-09-01,2024-09,2024,/resources/templates,Tool,Informational,13848,7067,3130,156,177,0.35,2160288,4846.8
2024-09-01,2024-09,2024,/customers/case-study-northwind,Case Study,Commercial,8384,5391,2690,238,243,0.52,1995392,4359.68
2024-09-01,2024-09,2024,/compare/vs-competitor,Comparison,Commercial,8625,6099,3161,172,387,0.6,1483500,5175.0
2024-09-01,2024-09,2024,/demo,Demo,Transactional,7586,3185,3500,93,477,0.76,705498,5765.36
2024-10-01,2024-10,2024,/,Home,Navigational,60609,35759,17146,69,298,0.45,4182021,27274.05
2024-10-01,2024-10,2024,/pricing,Pricing,Commercial,19513,12762,7370,103,858,0.53,2009839,10341.89
2024-10-01,2024-10,2024,/product/analytics,Product,Commercial,16558,6072,7011,142,191,0.7,2351236,11590.6
2024-10-01,2024-10,2024,/product/automation,Product,Commercial,14817,6383,7678,152,187,0.78,2252184,11557.26
2024-10-01,2024-10,2024,/blog/marketing-attribution-guide,Blog,Informational,33877,19089,8942,247,213,0.42,8367619,14228.34
2024-10-01,2024-10,2024,/blog/roas-benchmarks-2025,Blog,Informational,17429,10937,6253,168,165,0.5,2928072,8714.5
2024-10-01,2024-10,2024,/blog/email-subject-lines,Blog,Informational,13813,4699,5587,155,34,0.66,2141015,9116.58
2024-10-01,2024-10,2024,/resources/roi-calculator,Tool,Commercial,10817,4373,5401,272,272,0.74,2942224,8004.58
2024-10-01,2024-10,2024,/resources/templates,Tool,Informational,14345,7702,3515,151,198,0.39,2166095,5594.55
2024-10-01,2024-10,2024,/customers/case-study-northwind,Case Study,Commercial,5553,3337,1887,169,154,0.47,938457,2609.91
2024-10-01,2024-10,2024,/compare/vs-competitor,Comparison,Commercial,8991,6597,3466,165,427,0.63,1483515,5664.33
2024-10-01,2024-10,2024,/demo,Demo,Transactional,7891,2981,3790,95,460,0.79,749645,6233.89
2024-11-01,2024-11,2024,/,Home,Navigational,62763,34389,18948,71,275,0.49,4456173,30753.87
2024-11-01,2024-11,2024,/pricing,Pricing,Commercial,20380,13871,7085,105,954,0.56,2139900,11412.8
2024-11-01,2024-11,2024,/product/analytics,Product,Commercial,17253,12848,7633,146,580,0.73,2518938,12594.69
2024-11-01,2024-11,2024,/product/automation,Product,Commercial,15377,7033,7506,155,212,0.81,2383435,12455.37
2024-11-01,2024-11,2024,/blog/marketing-attribution-guide,Blog,Informational,35102,18302,9932,252,196,0.45,8845704,15795.9
2024-11-01,2024-11,2024,/blog/roas-benchmarks-2025,Blog,Informational,18223,11920,5990,172,184,0.53,3134356,9658.19
2024-11-01,2024-11,2024,/blog/email-subject-lines,Blog,Informational,14406,5284,6101,159,55,0.7,2290554,10084.2
2024-11-01,2024-11,2024,/resources/roi-calculator,Tool,Commercial,11234,4840,5271,278,310,0.78,3123052,8762.52
2024-11-01,2024-11,2024,/resources/templates,Tool,Informational,13948,7860,3682,154,194,0.42,2147992,5858.16
2024-11-01,2024-11,2024,/customers/case-study-northwind,Case Study,Commercial,5813,3648,1801,174,173,0.5,1011462,2906.5
2024-11-01,2024-11,2024,/compare/vs-competitor,Comparison,Commercial,8654,2945,3501,170,184,0.66,1471180,5711.64
2024-11-01,2024-11,2024,/demo,Demo,Transactional,8201,3316,3693,98,527,0.74,803698,6068.74
2024-12-01,2024-12,2024,/,Home,Navigational,64950,37315,17656,72,306,0.43,4676400,27928.5
2024-12-01,2024-12,2024,/pricing,Pricing,Commercial,19550,13826,7168,101,972,0.6,1974550,11730.0
2024-12-01,2024-12,2024,/product/analytics,Product,Commercial,17958,6308,7405,150,195,0.68,2693700,12211.44
2024-12-01,2024-12,2024,/product/automation,Product,Commercial,14903,7213,7558,150,224,0.84,2235450,12518.52
2024-12-01,2024-12,2024,/blog/marketing-attribution-guide,Blog,Informational,36346,19917,10975,258,219,0.4,9377268,14538.4
2024-12-01,2024-12,2024,/blog/roas-benchmarks-2025,Blog,Informational,17451,11879,6067,165,187,0.56,2879415,9772.56
2024-12-01,2024-12,2024,/blog/email-subject-lines,Blog,Informational,15008,11177,6641,163,120,0.64,2446304,9605.12
2024-12-01,2024-12,2024,/resources/roi-calculator,Tool,Commercial,10875,4975,5309,269,328,0.81,2925375,8808.75
2024-12-01,2024-12,2024,/resources/templates,Tool,Informational,14450,7535,4089,157,191,0.37,2268650,5346.5
2024-12-01,2024-12,2024,/customers/case-study-northwind,Case Study,Commercial,6077,3975,1998,240,193,0.53,1458480,3220.81
2024-12-01,2024-12,2024,/compare/vs-competitor,Comparison,Commercial,9024,6481,3822,174,415,0.61,1570176,5504.64
2024-12-01,2024-12,2024,/demo,Demo,Transactional,8516,3670,3996,94,601,0.78,800504,6642.48
2025-01-01,2025-01,2025,/,Home,Navigational,43007,25852,12508,70,217,0.47,3010490,20213.29
2025-01-01,2025-01,2025,/pricing,Pricing,Commercial,20427,13587,7877,104,922,0.63,2124408,12869.01
2025-01-01,2025-01,2025,/product/analytics,Product,Commercial,18674,7056,8055,153,225,0.71,2857122,13258.54
2025-01-01,2025-01,2025,/product/automation,Product,Commercial,15469,6835,3498,153,203,0.35,2366757,5414.15
2025-01-01,2025-01,2025,/blog/marketing-attribution-guide,Blog,Informational,37608,21609,10225,263,244,0.43,9890904,16171.44
2025-01-01,2025-01,2025,/blog/roas-benchmarks-2025,Blog,Informational,18254,11657,6693,170,177,0.6,3103180,10952.4
2025-01-01,2025-01,2025,/blog/email-subject-lines,Blog,Informational,15620,5488,6442,167,40,0.68,2608540,10621.6
2025-01-01,2025-01,2025,/resources/roi-calculator,Tool,Commercial,11296,5468,5729,275,344,0.84,3106400,9488.64
2025-01-01,2025-01,2025,/resources/templates,Tool,Informational,14961,8200,3784,161,213,0.4,2408721,5984.4
2025-01-01,2025-01,2025,/customers/case-study-northwind,Case Study,Commercial,5818,3961,2023,171,185,0.56,994878,3258.08
2025-01-01,2025-01,2025,/compare/vs-competitor,Comparison,Commercial,9400,7001,3699,178,458,0.64,1673200,6016.0
2025-01-01,2025-01,2025,/demo,Demo,Transactional,8243,3771,4025,96,589,0.81,791328,6676.83
2025-02-01,2025-02,2025,/,Home,Navigational,65427,41070,20272,71,354,0.5,4645317,32713.5
2025-02-01,2025-02,2025,/pricing,Pricing,Commercial,21318,14747,7580,107,1023,0.58,2281026,12364.44
2025-02-01,2025-02,2025,/product/analytics,Product,Commercial,18029,7292,8120,147,239,0.74,2650263,13341.46
2025-02-01,2025-02,2025,/product/automation,Product,Commercial,16043,7516,7959,156,229,0.82,2502708,13155.26
2025-02-01,2025-02,2025,/blog/marketing-attribution-guide,Blog,Informational,36601,22004,10647,255,255,0.47,9333255,17202.47
2025-02-01,2025-02,2025,/blog/roas-benchmarks-2025,Blog,Informational,19070,12686,7355,174,198,0.55,3318180,10488.5
2025-02-01,2025-02,2025,/blog/email-subject-lines,Blog,Informational,15060,5692,6497,161,43,0.71,2424660,10692.6
2025-02-01,2025-02,2025,/resources/roi-calculator,Tool,Commercial,11724,5181,2652,281,336,0.79,3294444,9261.96
2025-02-01,2025-02,2025,/resources/templates,Tool,Informational,14547,8360,3956,156,223,0.43,2269332,6255.21
2025-02-01,2025-02,2025,/customers/case-study-northwind,Case Study,Commercial,6086,3887,2232,176,186,0.51,1071136,3103.86
2025-02-01,2025-02,2025,/compare/vs-competitor,Comparison,Commercial,9050,3180,3733,171,142,0.68,1547550,6154.0
2025-02-01,2025-02,2025,/demo,Demo,Transactional,8562,3557,4343,98,572,0.76,839076,6507.12
2025-03-01,2025-03,2025,/,Home,Navigational,67668,39629,22252,73,329,0.53,4939764,35864.04
2025-03-01,2025-03,2025,/pricing,Pricing,Commercial,22223,15964,8324,102,1133,0.61,2266746,13556.03
2025-03-01,2025-03,2025,/product/analytics,Product,Commercial,18753,6796,8802,151,213,0.78,2831703,14627.34
2025-03-01,2025-03,2025,/product/automation,Product,Commercial,16627,8232,8565,160,258,0.86,2660320,14299.22
2025-03-01,2025-03,2025,/blog/marketing-attribution-guide,Blog,Informational,37876,21177,11737,260,236,0.5,9847760,18938.0
2025-03-01,2025-03,2025,/blog/roas-benchmarks-2025,Blog,Informational,19900,13767,7077,179,219,0.58,3562100,11542.0
2025-03-01,2025-03,2025,/blog/email-subject-lines,Blog,Informational,15678,11850,7062,165,128,0.74,2586870,11601.72
2025-03-01,2025-03,2025,/resources/roi-calculator,Tool,Commercial,12158,5697,6032,287,379,0.82,3489346,9969.56
2025-03-01,2025-03,2025,/resources/templates,Tool,Informational,15062,8022,4382,159,206,0.47,2394858,7079.14
2025-03-01,2025-03,2025,/customers/case-study-northwind,Case Study,Commercial,6357,4229,2140,180,207,0.55,1144260,3496.35
2025-03-01,2025-03,2025,/compare/vs-competitor,Comparison,Commercial,9431,3565,4069,176,230,0.71,1659856,6696.01
2025-03-01,2025-03,2025,/demo,Demo,Transactional,8885,3927,4240,101,650,0.79,897385,7019.15
2025-04-01,2025-04,2025,/,Home,Navigational,45020,27563,13451,52,234,0.48,2341040,21609.6
2025-04-01,2025-04,2025,/pricing,Pricing,Commercial,21359,15911,8406,105,1153,0.64,2242695,13669.76
2025-04-01,2025-04,2025,/product/analytics,Product,Commercial,19489,7581,8562,154,245,0.72,3001306,14032.08
2025-04-01,2025-04,2025,/product/automation,Product,Commercial,16132,8416,3777,154,271,0.37,2484328,5968.84
2025-04-01,2025-04,2025,/blog/marketing-attribution-guide,Blog,Informational,39169,22942,10961,265,262,0.45,10379785,17626.05
2025-04-01,2025-04,2025,/blog/roas-benchmarks-2025,Blog,Informational,19095,13718,7153,172,223,0.61,3284340,11647.95
2025-04-01,2025-04,2025,/blog/email-subject-lines,Blog,Informational,16306,5910,6854,169,44,0.69,2755714,11251.14
2025-04-01,2025-04,2025,/resources/roi-calculator,Tool,Commercial,11784,5835,6071,277,399,0.86,3264168,10134.24
2025-04-01,2025-04,2025,/resources/templates,Tool,Informational,15585,8715,4830,162,229,0.41,2524770,6389.85
2025-04-01,2025-04,2025,/customers/case-study-northwind,Case Study,Commercial,6090,4214,2166,173,211,0.58,1053570,3532.2
2025-04-01,2025-04,2025,/compare/vs-competitor,Comparison,Commercial,9817,7421,4422,180,489,0.66,1767060,6479.22
2025-04-01,2025-04,2025,/demo,Demo,Transactional,8602,4031,4268,97,686,0.82,834394,7053.64
2025-05-01,2025-05,2025,/,Home,Navigational,47072,30071,14959,72,262,0.51,3389184,24006.72
2025-05-01,2025-05,2025,/pricing,Pricing,Commercial,22273,15655,9189,108,1097,0.68,2405484,15145.64
2025-05-01,2025-05,2025,/product/analytics,Product,Commercial,20235,8409,9274,149,280,0.76,3015015,15378.6
2025-05-01,2025-05,2025,/product/automation,Product,Commercial,16721,8019,4232,158,248,0.4,2641918,6688.4
2025-05-01,2025-05,2025,/blog/marketing-attribution-guide,Blog,Informational,26058,15955,7787,257,186,0.48,6696906,12507.84
2025-05-01,2025-05,2025,/blog/roas-benchmarks-2025,Blog,Informational,19934,13482,7847,176,212,0.64,3508384,12757.76
2025-05-01,2025-05,2025,/blog/email-subject-lines,Blog,Informational,16944,6592,7445,173,50,0.72,2931312,12199.68
2025-05-01,2025-05,2025,/resources/roi-calculator,Tool,Commercial,12223,5538,2862,284,363,0.37,3471332,4522.51
2025-05-01,2025-05,2025,/resources/templates,Tool,Informational,16116,9440,4511,165,254,0.45,2659140,7252.2
2025-05-01,2025-05,2025,/customers/case-study-northwind,Case Study,Commercial,6364,4135,2384,178,200,0.61,1132792,3882.04
2025-05-01,2025-05,2025,/compare/vs-competitor,Comparison,Commercial,10209,3701,4292,184,168,0.69,1878456,7044.21
2025-05-01,2025-05,2025,/demo,Demo,Transactional,8928,4421,4600,99,720,0.86,883872,7678.08
2025-06-01,2025-06,2025,/,Home,Navigational,70427,46864,23718,51,393,0.55,3591777,38734.85
2025-06-01,2025-06,2025,/pricing,Pricing,Commercial,23202,16925,8875,110,1212,0.63,2552220,14617.26
2025-06-01,2025-06,2025,/product/analytics,Product,Commercial,19563,8650,9338,152,274,0.79,2973576,15454.77
2025-06-01,2025-06,2025,/product/automation,Product,Commercial,17319,8767,3863,161,278,0.35,2788359,6061.65
2025-06-01,2025-06,2025,/blog/marketing-attribution-guide,Blog,Informational,39429,25191,12532,262,301,0.51,10330398,20108.79
2025-06-01,2025-06,2025,/blog/roas-benchmarks-2025,Blog,Informational,20785,14610,7557,181,235,0.59,3762085,12263.15
2025-06-01,2025-06,2025,/blog/email-subject-lines,Blog,Informational,16361,6800,7499,166,54,0.76,2715926,12434.36
2025-06-01,2025-06,2025,/resources/roi-calculator,Tool,Commercial,12668,6076,6386,290,409,0.84,3673720,10641.12
2025-06-01,2025-06,2025,/resources/templates,Tool,Informational,15684,9605,4688,160,265,0.48,2509440,7528.32
2025-06-01,2025-06,2025,/customers/case-study-northwind,Case Study,Commercial,6643,4493,2615,182,222,0.56,1209026,3720.08
2025-06-01,2025-06,2025,/compare/vs-competitor,Comparison,Commercial,9845,3831,4326,178,179,0.72,1752410,7088.4
2025-06-01,2025-06,2025,/demo,Demo,Transactional,9260,4196,2169,102,703,0.8,944520,7408.0
2025-07-01,2025-07,2025,/,Home,Navigational,47074,29344,16748,52,252,0.49,2447848,23066.26
2025-07-01,2025-07,2025,/pricing,Pricing,Commercial,24145,18255,9695,106,1335,0.66,2559370,15935.7
2025-07-01,2025-07,2025,/product/analytics,Product,Commercial,20317,8129,10083,156,266,0.82,3169452,16659.94
2025-07-01,2025-07,2025,/product/automation,Product,Commercial,17925,9550,4339,156,311,0.38,2796300,6811.5
2025-07-01,2025-07,2025,/blog/marketing-attribution-guide,Blog,Informational,40754,24323,13727,186,280,0.55,7580244,22414.7
2025-07-01,2025-07,2025,/blog/roas-benchmarks-2025,Blog,Informational,21650,15794,8283,174,260,0.63,3767100,13639.5
2025-07-01,2025-07,2025,/blog/email-subject-lines,Blog,Informational,17005,6352,8117,170,48,0.79,2890850,13433.95
2025-07-01,2025-07,2025,/resources/roi-calculator,Tool,Commercial,13119,6642,2927,296,460,0.35,3883224,4591.65
2025-07-01,2025-07,2025,/resources/templates,Tool,Informational,16219,9250,5156,163,246,0.51,2643697,8271.69
2025-07-01,2025-07,2025,/customers/case-study-northwind,Case Study,Commercial,6926,4869,2518,187,246,0.59,1295162,4086.34
2025-07-01,2025-07,2025,/compare/vs-competitor,Comparison,Commercial,10241,3554,4695,182,158,0.76,1863862,7783.16
2025-07-01,2025-07,2025,/demo,Demo,Transactional,9596,4604,4838,104,793,0.84,997984,8060.64
2025-08-01,2025-08,2025,/,Home,Navigational,49181,31965,16019,54,281,0.53,2655774,26065.93
2025-08-01,2025-08,2025,/pricing,Pricing,Commercial,23246,8430,9775,109,596,0.69,2533814,16039.74
2025-08-01,2025-08,2025,/product/analytics,Product,Commercial,21082,8995,9829,159,303,0.77,3352038,16233.14
2025-08-01,2025-08,2025,/product/automation,Product,Commercial,17409,9739,4544,159,304,0.41,2768031,7137.69
2025-08-01,2025-08,2025,/blog/marketing-attribution-guide,Blog,Informational,27238,16981,8356,191,200,0.49,5202458,13346.62
2025-08-01,2025-08,2025,/blog/roas-benchmarks-2025,Blog,Informational,20813,15737,8358,178,264,0.66,3704714,13736.58
2025-08-01,2025-08,2025,/blog/email-subject-lines,Blog,Informational,17659,7066,7899,174,55,0.74,3072666,13067.66
2025-08-01,2025-08,2025,/resources/roi-calculator,Tool,Commercial,12729,6783,3082,286,482,0.38,3640494,4837.02
